current_date,cases,deaths,country,population,first_date,high_risk_2w
2020-12-14,464,12,DZ,43053054.0,31/12/2019,
2020-12-13,517,9,DZ,43053054.0,31/12/2019,
2020-12-12,542,11,DZ,43053054.0,31/12/2019,
2020-12-11,565,10,DZ,43053054.0,31/12/2019,
2020-12-10,598,15,DZ,43053054.0,31/12/2019,
2020-12-09,591,12,DZ,43053054.0,31/12/2019,
2020-12-08,573,11,DZ,43053054.0,31/12/2019,
2020-12-07,750,15,DZ,43053054.0,31/12/2019,
2020-12-06,772,9,DZ,43053054.0,31/12/2019,
2020-12-05,803,12,DZ,43053054.0,31/12/2019,
2020-12-04,843,16,DZ,43053054.0,31/12/2019,
2020-12-03,932,17,DZ,43053054.0,31/12/2019,
2020-12-02,963,16,DZ,43053054.0,31/12/2019,
2020-12-01,968,21,DZ,43053054.0,31/12/2019,
2020-11-30,1009,17,DZ,43053054.0,31/12/2019,False
2020-11-29,1044,21,DZ,43053054.0,31/12/2019,False
2020-11-28,1058,20,DZ,43053054.0,31/12/2019,False
2020-11-27,1085,23,DZ,43053054.0,31/12/2019,False
2020-11-26,1025,20,DZ,43053054.0,31/12/2019,False
2020-11-25,1133,15,DZ,43053054.0,31/12/2019,False
2020-11-24,1005,19,DZ,43053054.0,31/12/2019,False
2020-11-23,1088,35,DZ,43053054.0,31/12/2019,False
2020-11-22,1019,1,DZ,43053054.0,31/12/2019,False
2020-11-21,1103,15,DZ,43053054.0,31/12/2019,False
2020-11-20,1023,18,DZ,43053054.0,31/12/2019,False
2020-11-19,1038,20,DZ,43053054.0,31/12/2019,False
2020-11-18,1002,18,DZ,43053054.0,31/12/2019,False
2020-11-17,910,14,DZ,43053054.0,31/12/2019,False
2020-11-16,860,15,DZ,43053054.0,31/12/2019,False
2020-11-15,844,14,DZ,43053054.0,31/12/2019,False
2020-11-14,867,14,DZ,43053054.0,31/12/2019,False
2020-11-13,851,18,DZ,43053054.0,31/12/2019,False
2020-11-12,811,16,DZ,43053054.0,31/12/2019,False
2020-11-11,753,15,DZ,43053054.0,31/12/2019,False
2020-11-10,642,14,DZ,43053054.0,31/12/2019,False
2020-11-09,670,12,DZ,43053054.0,31/12/2019,False
2020-11-08,581,12,DZ,43053054.0,31/12/2019,False
2020-11-07,631,13,DZ,43053054.0,31/12/2019,False
2020-11-06,642,12,DZ,43053054.0,31/12/2019,False
2020-11-05,548,10,DZ,43053054.0,31/12/2019,False
2020-11-04,405,9,DZ,43053054.0,31/12/2019,False
2020-11-03,302,7,DZ,43053054.0,31/12/2019,False
2020-11-02,330,9,DZ,43053054.0,31/12/2019,False
2020-11-01,291,8,DZ,43053054.0,31/12/2019,False
2020-10-31,319,7,DZ,43053054.0,31/12/2019,False
2020-10-30,306,8,DZ,43053054.0,31/12/2019,False
2020-10-29,320,10,DZ,43053054.0,31/12/2019,False
2020-10-28,287,9,DZ,43053054.0,31/12/2019,False
2020-10-27,276,8,DZ,43053054.0,31/12/2019,False
2020-10-26,263,7,DZ,43053054.0,31/12/2019,False
2020-10-25,250,10,DZ,43053054.0,31/12/2019,False
2020-10-24,273,9,DZ,43053054.0,31/12/2019,False
2020-10-23,266,8,DZ,43053054.0,31/12/2019,False
2020-10-22,252,15,DZ,43053054.0,31/12/2019,False
2020-10-21,223,0,DZ,43053054.0,31/12/2019,False
2020-10-20,214,9,DZ,43053054.0,31/12/2019,False
2020-10-19,199,10,DZ,43053054.0,31/12/2019,False
2020-10-18,215,5,DZ,43053054.0,31/12/2019,False
2020-10-17,211,5,DZ,43053054.0,31/12/2019,False
2020-10-16,193,9,DZ,43053054.0,31/12/2019,False
2020-10-15,185,9,DZ,43053054.0,31/12/2019,False
2020-10-14,174,9,DZ,43053054.0,31/12/2019,False
2020-10-13,153,8,DZ,43053054.0,31/12/2019,False
2020-10-12,132,6,DZ,43053054.0,31/12/2019,False
2020-10-11,136,6,DZ,43053054.0,31/12/2019,False
2020-10-10,146,6,DZ,43053054.0,31/12/2019,False
2020-10-09,138,4,DZ,43053054.0,31/12/2019,False
2020-10-08,121,6,DZ,43053054.0,31/12/2019,False
2020-10-07,129,5,DZ,43053054.0,31/12/2019,False
2020-10-06,134,8,DZ,43053054.0,31/12/2019,False
2020-10-05,141,4,DZ,43053054.0,31/12/2019,False
2020-10-04,148,7,DZ,43053054.0,31/12/2019,False
2020-10-03,157,8,DZ,43053054.0,31/12/2019,False
2020-10-02,160,7,DZ,43053054.0,31/12/2019,False
2020-10-01,162,8,DZ,43053054.0,31/12/2019,False
2020-09-30,155,7,DZ,43053054.0,31/12/2019,False
2020-09-29,146,5,DZ,43053054.0,31/12/2019,False
2020-09-28,153,3,DZ,43053054.0,31/12/2019,False
2020-09-27,160,4,DZ,43053054.0,31/12/2019,False
2020-09-26,175,4,DZ,43053054.0,31/12/2019,False
2020-09-25,179,5,DZ,43053054.0,31/12/2019,False
2020-09-24,186,9,DZ,43053054.0,31/12/2019,False
2020-09-23,191,10,DZ,43053054.0,31/12/2019,False
2020-09-22,197,7,DZ,43053054.0,31/12/2019,False
2020-09-21,203,7,DZ,43053054.0,31/12/2019,False
2020-09-20,210,6,DZ,43053054.0,31/12/2019,False
