cases,deaths,population,country,high_risk_2w,current_date,first_date,nr_months,ratio,cases_100k,current_risk
1009.0,17.0,43053054.0,DZ,False,2020-11-30,2019-12-31,11,59.35,2.3436200368038933,False
1044.0,21.0,43053054.0,DZ,False,2020-11-29,2019-12-31,10,49.71,2.424915082679152,False
1058.0,20.0,43053054.0,DZ,False,2020-11-28,2019-12-31,10,52.9,2.4574331010292556,False
1085.0,23.0,43053054.0,DZ,False,2020-11-27,2019-12-31,10,47.17,2.5201464221330268,False
1025.0,20.0,43053054.0,DZ,False,2020-11-26,2019-12-31,10,51.25,2.3807834863468686,False
1133.0,15.0,43053054.0,DZ,False,2020-11-25,2019-12-31,10,75.53,2.6316367707619532,False
1005.0,19.0,43053054.0,DZ,False,2020-11-24,2019-12-31,10,52.89,2.334329174418149,False
1088.0,35.0,43053054.0,DZ,False,2020-11-23,2019-12-31,10,31.09,2.5271145689223347,False
1019.0,1.0,43053054.0,DZ,False,2020-11-22,2019-12-31,10,1019.0,2.366847192768253,False
1103.0,15.0,43053054.0,DZ,False,2020-11-21,2019-12-31,10,73.53,2.561955302868874,False
1023.0,18.0,43053054.0,DZ,False,2020-11-20,2019-12-31,10,56.83,2.3761380551539966,False
1038.0,20.0,43053054.0,DZ,False,2020-11-19,2019-12-31,10,51.9,2.410978789100536,False
1002.0,18.0,43053054.0,DZ,False,2020-11-18,2019-12-31,10,55.67,2.3273610276288412,False
910.0,14.0,43053054.0,DZ,False,2020-11-17,2019-12-31,10,65.0,2.113671192756732,False
860.0,15.0,43053054.0,DZ,False,2020-11-16,2019-12-31,10,57.33,1.9975354129349336,False
844.0,14.0,43053054.0,DZ,False,2020-11-15,2019-12-31,10,60.29,1.9603719633919583,False
867.0,14.0,43053054.0,DZ,False,2020-11-14,2019-12-31,10,61.93,2.0137944221099855,False
851.0,18.0,43053054.0,DZ,False,2020-11-13,2019-12-31,10,47.28,1.97663097256701,False
811.0,16.0,43053054.0,DZ,False,2020-11-12,2019-12-31,10,50.69,1.8837223487095711,False
753.0,15.0,43053054.0,DZ,False,2020-11-11,2019-12-31,10,50.2,1.749004844116285,False
642.0,14.0,43053054.0,DZ,False,2020-11-10,2019-12-31,10,45.86,1.4911834129118924,False
670.0,12.0,43053054.0,DZ,False,2020-11-09,2019-12-31,10,55.83,1.5562194496120996,False
581.0,12.0,43053054.0,DZ,False,2020-11-08,2019-12-31,10,48.42,1.3494977615292982,False
631.0,13.0,43053054.0,DZ,False,2020-11-07,2019-12-31,10,48.54,1.4656335413510968,False
642.0,12.0,43053054.0,DZ,False,2020-11-06,2019-12-31,10,53.5,1.4911834129118924,False
548.0,10.0,43053054.0,DZ,False,2020-11-05,2019-12-31,10,54.8,1.2728481468469113,False
405.0,9.0,43053054.0,DZ,False,2020-11-04,2019-12-31,10,45.0,0.9406998165565676,False
302.0,7.0,43053054.0,DZ,False,2020-11-03,2019-12-31,10,43.14,0.7014601101236627,False
330.0,9.0,43053054.0,DZ,False,2020-11-02,2019-12-31,10,36.67,0.7664961468238699,False
291.0,8.0,43053054.0,DZ,False,2020-11-01,2019-12-31,10,36.38,0.6759102385628671,False
319.0,7.0,43053054.0,DZ,False,2020-10-31,2019-12-31,10,45.57,0.7409462752630742,False
306.0,8.0,43053054.0,DZ,False,2020-10-30,2019-12-31,9,38.25,0.7107509725094067,False
320.0,10.0,43053054.0,DZ,False,2020-10-29,2019-12-31,9,32.0,0.7432689908595103,False
287.0,9.0,43053054.0,DZ,False,2020-10-28,2019-12-31,9,31.89,0.6666193761771232,False
276.0,8.0,43053054.0,DZ,False,2020-10-27,2019-12-31,9,34.5,0.6410695046163276,False
263.0,7.0,43053054.0,DZ,False,2020-10-26,2019-12-31,9,37.57,0.61087420186266,False
250.0,10.0,43053054.0,DZ,False,2020-10-25,2019-12-31,9,25.0,0.5806788991089924,False
273.0,9.0,43053054.0,DZ,False,2020-10-24,2019-12-31,9,30.33,0.6341013578270197,False
266.0,8.0,43053054.0,DZ,False,2020-10-23,2019-12-31,9,33.25,0.6178423486519679,False
252.0,15.0,43053054.0,DZ,False,2020-10-22,2019-12-31,9,16.8,0.5853243303018643,False
223.0,0.0,43053054.0,DZ,False,2020-10-21,2019-12-31,9,,0.5179655780052211,False
214.0,9.0,43053054.0,DZ,False,2020-10-20,2019-12-31,9,23.78,0.4970611376372975,False
199.0,10.0,43053054.0,DZ,False,2020-10-19,2019-12-31,9,19.9,0.4622204036907579,False
215.0,5.0,43053054.0,DZ,False,2020-10-18,2019-12-31,9,43.0,0.4993838532337334,False
211.0,5.0,43053054.0,DZ,False,2020-10-17,2019-12-31,9,42.2,0.4900929908479896,False
193.0,9.0,43053054.0,DZ,False,2020-10-16,2019-12-31,9,21.44,0.4482841101121421,False
185.0,9.0,43053054.0,DZ,False,2020-10-15,2019-12-31,9,20.56,0.42970238534065436,False
174.0,9.0,43053054.0,DZ,False,2020-10-14,2019-12-31,9,19.33,0.40415251377985867,False
153.0,8.0,43053054.0,DZ,False,2020-10-13,2019-12-31,9,19.12,0.35537548625470333,False
132.0,6.0,43053054.0,DZ,False,2020-10-12,2019-12-31,9,22.0,0.30659845872954794,False
136.0,6.0,43053054.0,DZ,False,2020-10-11,2019-12-31,9,22.67,0.31588932111529183,False
146.0,6.0,43053054.0,DZ,False,2020-10-10,2019-12-31,9,24.33,0.33911647707965153,False
138.0,4.0,43053054.0,DZ,False,2020-10-09,2019-12-31,9,34.5,0.3205347523081638,False
121.0,6.0,43053054.0,DZ,False,2020-10-08,2019-12-31,9,20.17,0.2810485871687523,False
129.0,5.0,43053054.0,DZ,False,2020-10-07,2019-12-31,9,25.8,0.29963031194024004,False
134.0,8.0,43053054.0,DZ,False,2020-10-06,2019-12-31,9,16.75,0.3112438899224199,False
141.0,4.0,43053054.0,DZ,False,2020-10-05,2019-12-31,9,35.25,0.3275028990974717,False
148.0,7.0,43053054.0,DZ,False,2020-10-04,2019-12-31,9,21.14,0.34376190827252345,False
157.0,8.0,43053054.0,DZ,False,2020-10-03,2019-12-31,9,19.62,0.3646663486404472,False
160.0,7.0,43053054.0,DZ,False,2020-10-02,2019-12-31,9,22.86,0.37163449542975513,False
162.0,8.0,43053054.0,DZ,False,2020-10-01,2019-12-31,9,20.25,0.37627992662262705,False
155.0,7.0,43053054.0,DZ,False,2020-09-30,2019-12-31,9,22.14,0.36002091744757525,False
146.0,5.0,43053054.0,DZ,False,2020-09-29,2019-12-31,8,29.2,0.33911647707965153,False
153.0,3.0,43053054.0,DZ,False,2020-09-28,2019-12-31,8,51.0,0.35537548625470333,False
160.0,4.0,43053054.0,DZ,False,2020-09-27,2019-12-31,8,40.0,0.37163449542975513,False
175.0,4.0,43053054.0,DZ,False,2020-09-26,2019-12-31,8,43.75,0.40647522937629466,False
179.0,5.0,43053054.0,DZ,False,2020-09-25,2019-12-31,8,35.8,0.41576609176203855,False
186.0,9.0,43053054.0,DZ,False,2020-09-24,2019-12-31,8,20.67,0.4320251009370903,False
191.0,10.0,43053054.0,DZ,False,2020-09-23,2019-12-31,8,19.1,0.44363867891927017,False
197.0,7.0,43053054.0,DZ,False,2020-09-22,2019-12-31,8,28.14,0.457574972497886,False
203.0,7.0,43053054.0,DZ,False,2020-09-21,2019-12-31,8,29.0,0.4715112660765018,False
210.0,6.0,43053054.0,DZ,False,2020-09-20,2019-12-31,8,35.0,0.4877702752515536,False
219.0,5.0,43053054.0,DZ,False,2020-09-19,2019-12-31,8,43.8,0.5086747156194773,False
228.0,9.0,43053054.0,DZ,False,2020-09-18,2019-12-31,8,25.33,0.529579155987401,False
232.0,13.0,43053054.0,DZ,False,2020-09-17,2019-12-31,8,17.85,0.538870018373145,False
238.0,12.0,43053054.0,DZ,False,2020-09-16,2019-12-31,8,19.83,0.5528063119517608,False
242.0,8.0,43053054.0,DZ,False,2020-09-15,2019-12-31,8,30.25,0.5620971743375046,False
