current_date,cases,deaths,country,population,first_date,high_risk_2w,day,month,year,season,weekday,nr_months,ratio,cases_100k,current_risk,avg_2weeks,avg_2w_100k,sum_2weeks,sum_2w_100k
2020-12-14,464,12,DZ,43053054.0,2019-12-31,,14,12,2020,4,0,11,38.67,1.07774003674629,False,745.875,1.7324554954916787,11934.0,27.71928792786686
2020-12-13,517,9,DZ,43053054.0,2019-12-31,,13,12,2020,4,6,11,57.44,1.2008439633573962,False,783.0,1.8186863120093641,12528.0,29.098980992149826
2020-12-12,542,11,DZ,43053054.0,2019-12-31,,12,12,2020,4,5,11,49.27,1.2589118532682955,False,818.5,1.901142715682841,13096.0,30.418283450925458
2020-12-11,565,10,DZ,43053054.0,2019-12-31,,11,12,2020,4,4,11,56.5,1.3123343119863227,False,848.6875,1.971259692750252,13579.0,31.54015508400403
2020-12-10,598,15,DZ,43053054.0,2019-12-31,,10,12,2020,4,3,11,39.87,1.3889839266687096,False,884.1875,2.0537160964237287,14147.0,32.85945754277966
2020-12-09,591,12,DZ,43053054.0,2019-12-31,,9,12,2020,4,2,11,49.25,1.372724917493658,False,909.625,2.112800174408069,14554.0,33.8048027905291
2020-12-08,573,11,DZ,43053054.0,2019-12-31,,8,12,2020,4,1,11,52.09,1.3309160367578106,False,940.6875,2.184949527622361,15051.0,34.959192441957775
2020-12-07,750,15,DZ,43053054.0,2019-12-31,,7,12,2020,4,0,11,50.0,1.7420366973269772,False,968.5625,2.2496952248730135,15497.0,35.99512359796822
2020-12-06,772,9,DZ,43053054.0,2019-12-31,,6,12,2020,4,6,11,85.78,1.7931364404485683,False,990.625,2.3009401377193823,15850.0,36.81504220351012
2020-12-05,803,12,DZ,43053054.0,2019-12-31,,5,12,2020,4,5,11,66.92,1.8651406239380834,False,1006.3125,2.3373777386384713,16101.0,37.39804381821554
2020-12-04,843,16,DZ,43053054.0,2019-12-31,,4,12,2020,4,4,11,52.69,1.9580492477955223,False,1021.0,2.371492623961125,16336.0,37.943881983378
