current_date,cases,deaths,country,population,first_date,high_risk_2w
2020-12-14,746,6,AF,38041757.0,31/12/2019,
2020-12-13,298,9,AF,38041757.0,31/12/2019,
2020-12-12,113,11,AF,38041757.0,31/12/2019,
2020-12-11,63,10,AF,38041757.0,31/12/2019,
2020-12-10,202,16,AF,38041757.0,31/12/2019,
2020-12-09,135,13,AF,38041757.0,31/12/2019,
2020-12-08,200,6,AF,38041757.0,31/12/2019,
2020-12-07,210,26,AF,38041757.0,31/12/2019,
2020-12-06,234,10,AF,38041757.0,31/12/2019,
2020-12-05,235,18,AF,38041757.0,31/12/2019,
2020-12-04,119,5,AF,38041757.0,31/12/2019,
2020-12-03,202,19,AF,38041757.0,31/12/2019,
2020-12-02,400,48,AF,38041757.0,31/12/2019,
2020-12-01,272,11,AF,38041757.0,31/12/2019,
2020-11-30,0,0,AF,38041757.0,31/12/2019,False
2020-11-29,228,11,AF,38041757.0,31/12/2019,False
2020-11-28,214,15,AF,38041757.0,31/12/2019,False
2020-11-27,0,0,AF,38041757.0,31/12/2019,False
2020-11-26,200,12,AF,38041757.0,31/12/2019,False
2020-11-25,185,13,AF,38041757.0,31/12/2019,False
2020-11-24,246,17,AF,38041757.0,31/12/2019,False
2020-11-23,252,8,AF,38041757.0,31/12/2019,False
2020-11-22,154,12,AF,38041757.0,31/12/2019,False
2020-11-21,232,25,AF,38041757.0,31/12/2019,False
2020-11-20,282,5,AF,38041757.0,31/12/2019,False
2020-11-19,0,0,AF,38041757.0,31/12/2019,False
2020-11-18,383,13,AF,38041757.0,31/12/2019,False
2020-11-17,65,6,AF,38041757.0,31/12/2019,False
2020-11-16,163,9,AF,38041757.0,31/12/2019,False
2020-11-15,205,12,AF,38041757.0,31/12/2019,False
2020-11-14,66,10,AF,38041757.0,31/12/2019,False
2020-11-13,360,14,AF,38041757.0,31/12/2019,False
2020-11-12,146,4,AF,38041757.0,31/12/2019,False
2020-11-11,0,0,AF,38041757.0,31/12/2019,False
2020-11-10,224,12,AF,38041757.0,31/12/2019,False
2020-11-09,80,3,AF,38041757.0,31/12/2019,False
2020-11-08,126,6,AF,38041757.0,31/12/2019,False
2020-11-07,58,2,AF,38041757.0,31/12/2019,False
2020-11-06,40,0,AF,38041757.0,31/12/2019,False
2020-11-05,121,6,AF,38041757.0,31/12/2019,False
2020-11-04,86,4,AF,38041757.0,31/12/2019,False
2020-11-03,95,3,AF,38041757.0,31/12/2019,False
