cases,deaths,population,country,high_risk_2w,current_date,first_date,nr_months,ratio,cases_100k,current_risk
0.0,0.0,38041757.0,AF,False,2020-11-30,2019-12-31,11,,0.0,False
228.0,11.0,38041757.0,AF,False,2020-11-29,2019-12-31,10,20.73,0.5993414026591884,False
214.0,15.0,38041757.0,AF,False,2020-11-28,2019-12-31,10,14.27,0.5625397375836242,False
0.0,0.0,38041757.0,AF,False,2020-11-27,2019-12-31,10,,0.0,False
200.0,12.0,38041757.0,AF,False,2020-11-26,2019-12-31,10,16.67,0.52573807250806,False
185.0,13.0,38041757.0,AF,False,2020-11-25,2019-12-31,10,14.23,0.4863077170699555,False
246.0,17.0,38041757.0,AF,False,2020-11-24,2019-12-31,10,14.47,0.6466578291849139,False
252.0,8.0,38041757.0,AF,False,2020-11-23,2019-12-31,10,31.5,0.6624299713601556,False
154.0,12.0,38041757.0,AF,False,2020-11-22,2019-12-31,10,12.83,0.4048183158312062,False
232.0,25.0,38041757.0,AF,False,2020-11-21,2019-12-31,10,9.28,0.6098561641093496,False
282.0,5.0,38041757.0,AF,False,2020-11-20,2019-12-31,10,56.4,0.7412906822363646,False
0.0,0.0,38041757.0,AF,False,2020-11-19,2019-12-31,10,,0.0,False
383.0,13.0,38041757.0,AF,False,2020-11-18,2019-12-31,10,29.46,1.0067884088529349,False
65.0,6.0,38041757.0,AF,False,2020-11-17,2019-12-31,10,10.83,0.1708648735651195,False
163.0,9.0,38041757.0,AF,False,2020-11-16,2019-12-31,10,18.11,0.4284765290940689,False
205.0,12.0,38041757.0,AF,False,2020-11-15,2019-12-31,10,17.08,0.5388815243207615,False
66.0,10.0,38041757.0,AF,False,2020-11-14,2019-12-31,10,6.6,0.1734935639276598,False
360.0,14.0,38041757.0,AF,False,2020-11-13,2019-12-31,10,25.71,0.946328530514508,False
146.0,4.0,38041757.0,AF,False,2020-11-12,2019-12-31,10,36.5,0.3837887929308838,False
0.0,0.0,38041757.0,AF,False,2020-11-11,2019-12-31,10,,0.0,False
224.0,12.0,38041757.0,AF,False,2020-11-10,2019-12-31,10,18.67,0.5888266412090273,False
80.0,3.0,38041757.0,AF,False,2020-11-09,2019-12-31,10,26.67,0.210295229003224,False
126.0,6.0,38041757.0,AF,False,2020-11-08,2019-12-31,10,21.0,0.3312149856800778,False
58.0,2.0,38041757.0,AF,False,2020-11-07,2019-12-31,10,29.0,0.1524640410273374,False
40.0,0.0,38041757.0,AF,False,2020-11-06,2019-12-31,10,,0.105147614501612,False
121.0,6.0,38041757.0,AF,False,2020-11-05,2019-12-31,10,20.17,0.3180715338673763,False
86.0,4.0,38041757.0,AF,False,2020-11-04,2019-12-31,10,21.5,0.22606737117846581,False
95.0,3.0,38041757.0,AF,False,2020-11-03,2019-12-31,10,31.67,0.2497255844413285,False
132.0,5.0,38041757.0,AF,False,2020-11-02,2019-12-31,10,26.4,0.3469871278553196,False
76.0,0.0,38041757.0,AF,False,2020-11-01,2019-12-31,10,,0.1997804675530628,False
157.0,4.0,38041757.0,AF,False,2020-10-31,2019-12-31,10,39.25,0.4127043869188271,False
123.0,3.0,38041757.0,AF,False,2020-10-30,2019-12-31,9,41.0,0.32332891459245694,False
0.0,0.0,38041757.0,AF,False,2020-10-29,2019-12-31,9,,0.0,False
113.0,7.0,38041757.0,AF,False,2020-10-28,2019-12-31,9,16.14,0.2970420109670539,False
199.0,8.0,38041757.0,AF,False,2020-10-27,2019-12-31,9,24.88,0.5231093821455197,False
65.0,3.0,38041757.0,AF,False,2020-10-26,2019-12-31,9,21.67,0.1708648735651195,False
81.0,4.0,38041757.0,AF,False,2020-10-25,2019-12-31,9,20.25,0.2129239193657643,False
61.0,2.0,38041757.0,AF,False,2020-10-24,2019-12-31,9,30.5,0.1603501121149583,False
116.0,4.0,38041757.0,AF,False,2020-10-23,2019-12-31,9,29.0,0.3049280820546748,False
135.0,2.0,38041757.0,AF,False,2020-10-22,2019-12-31,9,67.5,0.3548731989429405,False
88.0,2.0,38041757.0,AF,False,2020-10-21,2019-12-31,9,44.0,0.2313247519035464,False
87.0,5.0,38041757.0,AF,False,2020-10-20,2019-12-31,9,17.4,0.2286960615410061,False
59.0,4.0,38041757.0,AF,False,2020-10-19,2019-12-31,9,14.75,0.1550927313898777,False
68.0,3.0,38041757.0,AF,False,2020-10-18,2019-12-31,9,22.67,0.1787509446527404,False
47.0,4.0,38041757.0,AF,False,2020-10-17,2019-12-31,9,11.75,0.1235484470393941,False
0.0,0.0,38041757.0,AF,False,2020-10-16,2019-12-31,9,,0.0,False
32.0,1.0,38041757.0,AF,False,2020-10-15,2019-12-31,9,32.0,0.08411809160128961,False
66.0,0.0,38041757.0,AF,False,2020-10-14,2019-12-31,9,,0.1734935639276598,False
129.0,3.0,38041757.0,AF,False,2020-10-13,2019-12-31,9,43.0,0.3391010567676987,False
96.0,4.0,38041757.0,AF,False,2020-10-12,2019-12-31,9,24.0,0.2523542748038688,False
0.0,0.0,38041757.0,AF,False,2020-10-11,2019-12-31,9,,0.0,False
10.0,1.0,38041757.0,AF,False,2020-10-10,2019-12-31,9,10.0,0.026286903625403,False
77.0,2.0,38041757.0,AF,False,2020-10-09,2019-12-31,9,38.5,0.2024091579156031,False
68.0,1.0,38041757.0,AF,False,2020-10-08,2019-12-31,9,68.0,0.1787509446527404,False
62.0,2.0,38041757.0,AF,False,2020-10-07,2019-12-31,9,31.0,0.1629788024774986,False
145.0,5.0,38041757.0,AF,False,2020-10-06,2019-12-31,9,29.0,0.38116010256834354,False
44.0,0.0,38041757.0,AF,False,2020-10-05,2019-12-31,9,,0.1156623759517732,False
7.0,4.0,38041757.0,AF,False,2020-10-04,2019-12-31,9,1.75,0.018400832537782102,False
5.0,0.0,38041757.0,AF,False,2020-10-03,2019-12-31,9,,0.0131434518127015,False
17.0,0.0,38041757.0,AF,False,2020-10-02,2019-12-31,9,,0.0446877361631851,False
14.0,0.0,38041757.0,AF,False,2020-10-01,2019-12-31,9,,0.036801665075564205,False
15.0,2.0,38041757.0,AF,False,2020-09-30,2019-12-31,9,7.5,0.039430355438104504,False
12.0,3.0,38041757.0,AF,False,2020-09-29,2019-12-31,8,4.0,0.0315442843504836,False
0.0,0.0,38041757.0,AF,False,2020-09-28,2019-12-31,8,,0.0,False
35.0,0.0,38041757.0,AF,False,2020-09-27,2019-12-31,8,,0.0920041626889105,False
6.0,2.0,38041757.0,AF,False,2020-09-26,2019-12-31,8,3.0,0.0157721421752418,False
16.0,0.0,38041757.0,AF,False,2020-09-25,2019-12-31,8,,0.042059045800644804,False
25.0,5.0,38041757.0,AF,False,2020-09-24,2019-12-31,8,5.0,0.0657172590635075,False
71.0,2.0,38041757.0,AF,False,2020-09-23,2019-12-31,8,35.5,0.18663701574036132,False
30.0,3.0,38041757.0,AF,False,2020-09-22,2019-12-31,8,10.0,0.07886071087620901,False
0.0,0.0,38041757.0,AF,False,2020-09-21,2019-12-31,8,,0.0,False
125.0,4.0,38041757.0,AF,False,2020-09-20,2019-12-31,8,31.25,0.3285862953175375,False
47.0,1.0,38041757.0,AF,False,2020-09-19,2019-12-31,8,47.0,0.1235484470393941,False
0.0,0.0,38041757.0,AF,False,2020-09-18,2019-12-31,8,,0.0,False
17.0,0.0,38041757.0,AF,False,2020-09-17,2019-12-31,8,,0.0446877361631851,False
40.0,10.0,38041757.0,AF,False,2020-09-16,2019-12-31,8,4.0,0.105147614501612,False
99.0,6.0,38041757.0,AF,False,2020-09-15,2019-12-31,8,16.5,0.2602403458914897,False
75.0,0.0,38041757.0,AF,False,2020-09-14,2019-12-31,8,,0.19715177719052251,False
35.0,0.0,38041757.0,AF,False,2020-09-13,2019-12-31,8,,0.0920041626889105,False
34.0,0.0,38041757.0,AF,False,2020-09-12,2019-12-31,8,,0.0893754723263702,False
28.0,0.0,38041757.0,AF,False,2020-09-11,2019-12-31,8,,0.07360333015112841,False
24.0,2.0,38041757.0,AF,False,2020-09-10,2019-12-31,8,12.0,0.0630885687009672,False
26.0,3.0,38041757.0,AF,False,2020-09-09,2019-12-31,8,8.67,0.0683459494260478,False
96.0,3.0,38041757.0,AF,False,2020-09-08,2019-12-31,8,32.0,0.2523542748038688,False
74.0,2.0,38041757.0,AF,False,2020-09-07,2019-12-31,8,37.0,0.19452308682798222,False
20.0,0.0,38041757.0,AF,False,2020-09-06,2019-12-31,8,,0.052573807250806,False
16.0,0.0,38041757.0,AF,False,2020-09-05,2019-12-31,8,,0.042059045800644804,False
45.0,1.0,38041757.0,AF,False,2020-09-04,2019-12-31,8,45.0,0.1182910663143135,False
38.0,3.0,38041757.0,AF,False,2020-09-03,2019-12-31,8,12.67,0.0998902337765314,False
9.0,0.0,38041757.0,AF,False,2020-09-02,2019-12-31,8,,0.0236582132628627,False
34.0,4.0,38041757.0,AF,False,2020-09-01,2019-12-31,8,8.5,0.0893754723263702,False
19.0,0.0,38041757.0,AF,False,2020-08-31,2019-12-31,8,,0.0499451168882657,False
3.0,0.0,38041757.0,AF,False,2020-08-30,2019-12-31,7,,0.0078860710876209,False
11.0,1.0,38041757.0,AF,False,2020-08-29,2019-12-31,7,11.0,0.0289155939879433,False
3.0,0.0,38041757.0,AF,False,2020-08-28,2019-12-31,7,,0.0078860710876209,False
55.0,4.0,38041757.0,AF,False,2020-08-27,2019-12-31,7,13.75,0.1445779699397165,False
1.0,0.0,38041757.0,AF,False,2020-08-26,2019-12-31,7,,0.0026286903625403002,False
71.0,10.0,38041757.0,AF,False,2020-08-25,2019-12-31,7,7.1,0.18663701574036132,False
0.0,0.0,38041757.0,AF,False,2020-08-24,2019-12-31,7,,0.0,False
105.0,2.0,38041757.0,AF,False,2020-08-23,2019-12-31,7,52.5,0.2760124880667315,False
38.0,0.0,38041757.0,AF,False,2020-08-22,2019-12-31,7,,0.0998902337765314,False
97.0,2.0,38041757.0,AF,False,2020-08-21,2019-12-31,7,48.5,0.2549829651664091,False
160.0,8.0,38041757.0,AF,False,2020-08-20,2019-12-31,7,20.0,0.420590458006448,False
0.0,0.0,38041757.0,AF,False,2020-08-19,2019-12-31,7,,0.0,False
3.0,0.0,38041757.0,AF,False,2020-08-18,2019-12-31,7,,0.0078860710876209,False
45.0,5.0,38041757.0,AF,False,2020-08-17,2019-12-31,7,9.0,0.1182910663143135,False
120.0,7.0,38041757.0,AF,False,2020-08-16,2019-12-31,7,17.14,0.31544284350483603,False
7.0,0.0,38041757.0,AF,False,2020-08-15,2019-12-31,7,,0.018400832537782102,False
79.0,9.0,38041757.0,AF,False,2020-08-14,2019-12-31,7,8.78,0.2076665386406837,False
76.0,10.0,38041757.0,AF,False,2020-08-13,2019-12-31,7,7.6,0.1997804675530628,False
215.0,32.0,38041757.0,AF,False,2020-08-12,2019-12-31,7,6.72,0.5651684279461645,False
0.0,0.0,38041757.0,AF,False,2020-08-11,2019-12-31,7,,0.0,False
0.0,0.0,38041757.0,AF,False,2020-08-10,2019-12-31,7,,0.0,False
39.0,5.0,38041757.0,AF,False,2020-08-09,2019-12-31,7,7.8,0.10251892413907171,False
78.0,9.0,38041757.0,AF,False,2020-08-08,2019-12-31,7,8.67,0.20503784827814342,False
41.0,0.0,38041757.0,AF,False,2020-08-07,2019-12-31,7,,0.10777630486415231,False
67.0,4.0,38041757.0,AF,False,2020-08-06,2019-12-31,7,16.75,0.17612225429020012,False
82.0,6.0,38041757.0,AF,False,2020-08-05,2019-12-31,7,13.67,0.21555260972830462,False
37.0,4.0,38041757.0,AF,False,2020-08-04,2019-12-31,7,9.25,0.09726154341399111,False
0.0,1.0,38041757.0,AF,False,2020-08-03,2019-12-31,7,0.0,0.0,False
0.0,0.0,38041757.0,AF,False,2020-08-02,2019-12-31,7,,0.0,False
168.0,12.0,38041757.0,AF,False,2020-08-01,2019-12-31,7,14.0,0.4416199809067704,False
71.0,0.0,38041757.0,AF,False,2020-07-31,2019-12-31,7,,0.18663701574036132,False
0.0,0.0,38041757.0,AF,False,2020-07-30,2019-12-31,6,,0.0,False
103.0,1.0,38041757.0,AF,False,2020-07-29,2019-12-31,6,103.0,0.2707551073416509,False
105.0,1.0,38041757.0,AF,False,2020-07-28,2019-12-31,6,105.0,0.2760124880667315,False
106.0,10.0,38041757.0,AF,False,2020-07-27,2019-12-31,6,10.6,0.27864117842927183,False
121.0,13.0,38041757.0,AF,False,2020-07-26,2019-12-31,6,9.31,0.3180715338673763,False
108.0,35.0,38041757.0,AF,False,2020-07-25,2019-12-31,6,3.09,0.2838985591543524,False
13.0,0.0,38041757.0,AF,False,2020-07-24,2019-12-31,6,,0.0341729747130239,False
188.0,21.0,38041757.0,AF,False,2020-07-23,2019-12-31,6,8.95,0.4941937881575764,False
112.0,4.0,38041757.0,AF,False,2020-07-22,2019-12-31,6,28.0,0.29441332060451364,False
140.0,5.0,38041757.0,AF,False,2020-07-21,2019-12-31,6,28.0,0.368016650755642,False
174.0,17.0,38041757.0,AF,False,2020-07-20,2019-12-31,6,10.24,0.4573921230820122,False
12.0,17.0,38041757.0,AF,False,2020-07-19,2019-12-31,6,0.71,0.0315442843504836,False
219.0,32.0,38041757.0,AF,False,2020-07-18,2019-12-31,6,6.84,0.5756831893963257,False
76.0,21.0,38041757.0,AF,False,2020-07-17,2019-12-31,6,3.62,0.1997804675530628,False
254.0,49.0,38041757.0,AF,False,2020-07-16,2019-12-31,6,5.18,0.6676873520852362,False
285.0,33.0,38041757.0,AF,False,2020-07-15,2019-12-31,6,8.64,0.7491767533239856,False
4.0,2.0,38041757.0,AF,False,2020-07-14,2019-12-31,6,2.0,0.010514761450161201,False
0.0,0.0,38041757.0,AF,False,2020-07-13,2019-12-31,6,,0.0,False
85.0,16.0,38041757.0,AF,False,2020-07-12,2019-12-31,6,5.31,0.22343868081592552,False
458.0,37.0,38041757.0,AF,False,2020-07-11,2019-12-31,6,12.38,1.2039401860434575,False
255.0,20.0,38041757.0,AF,False,2020-07-10,2019-12-31,6,12.75,0.6703160424477765,False
59.0,1.0,38041757.0,AF,False,2020-07-09,2019-12-31,6,59.0,0.1550927313898777,False
210.0,16.0,38041757.0,AF,False,2020-07-08,2019-12-31,6,13.12,0.552024976133463,False
433.0,56.0,38041757.0,AF,False,2020-07-07,2019-12-31,6,7.73,1.13822292697995,False
279.0,38.0,38041757.0,AF,False,2020-07-06,2019-12-31,6,7.34,0.7334046111487438,False
348.0,7.0,38041757.0,AF,False,2020-07-05,2019-12-31,6,49.71,0.9147842461640244,False
302.0,12.0,38041757.0,AF,False,2020-07-04,2019-12-31,6,25.17,0.7938644894871706,False
186.0,33.0,38041757.0,AF,False,2020-07-03,2019-12-31,6,5.64,0.48893640743249583,False
319.0,28.0,38041757.0,AF,False,2020-07-02,2019-12-31,6,11.39,0.8385522256503557,False
279.0,13.0,38041757.0,AF,False,2020-07-01,2019-12-31,6,21.46,0.7334046111487438,False
271.0,12.0,38041757.0,AF,False,2020-06-30,2019-12-31,6,22.58,0.7123750882484213,False
351.0,18.0,38041757.0,AF,False,2020-06-29,2019-12-31,5,19.5,0.9226703172516454,False
165.0,20.0,38041757.0,AF,False,2020-06-28,2019-12-31,5,8.25,0.4337339098191495,False
276.0,8.0,38041757.0,AF,False,2020-06-27,2019-12-31,5,34.5,0.7255185400611228,False
460.0,36.0,38041757.0,AF,False,2020-06-26,2019-12-31,5,12.78,1.209197566768538,False
234.0,21.0,38041757.0,AF,False,2020-06-25,2019-12-31,5,11.14,0.6151135448344303,False
338.0,20.0,38041757.0,AF,False,2020-06-24,2019-12-31,5,16.9,0.8884973425386214,False
