current_date,cases,deaths,country,population,first_date,high_risk_2w
07/03/2022,30498.0,10.0,AT,8901064,07/03/2020,
06/03/2022,26960.0,13.0,AT,8901064,07/03/2020,
05/03/2022,28015.0,24.0,AT,8901064,07/03/2020,
04/03/2022,32108.0,23.0,AT,8901064,07/03/2020,
03/03/2022,32534.0,26.0,AT,8901064,07/03/2020,
02/03/2022,32112.0,26.0,AT,8901064,07/03/2020,
01/03/2022,41987.0,31.0,AT,8901064,07/03/2020,
28/02/2022,27874.0,24.0,AT,8901064,07/03/2020,
27/02/2022,21561.0,27.0,AT,8901064,07/03/2020,
26/02/2022,22590.0,26.0,AT,8901064,07/03/2020,
25/02/2022,25565.0,33.0,AT,8901064,07/03/2020,
24/02/2022,30412.0,26.0,AT,8901064,07/03/2020,
23/02/2022,28973.0,23.0,AT,8901064,07/03/2020,
22/02/2022,35654.0,26.0,AT,8901064,07/03/2020,
21/02/2022,23962.0,27.0,AT,8901064,07/03/2020,True
20/02/2022,21513.0,19.0,AT,8901064,07/03/2020,True
19/02/2022,21970.0,22.0,AT,8901064,07/03/2020,True
18/02/2022,25942.0,19.0,AT,8901064,07/03/2020,True
17/02/2022,30765.0,25.0,AT,8901064,07/03/2020,True
16/02/2022,31033.0,21.0,AT,8901064,07/03/2020,True
15/02/2022,39025.0,26.0,AT,8901064,07/03/2020,True
14/02/2022,26642.0,28.0,AT,8901064,07/03/2020,True
13/02/2022,24246.0,18.0,AT,8901064,07/03/2020,True
12/02/2022,25165.0,30.0,AT,8901064,07/03/2020,True
11/02/2022,29965.0,29.0,AT,8901064,07/03/2020,True
10/02/2022,33330.0,21.0,AT,8901064,07/03/2020,True
09/02/2022,35397.0,15.0,AT,8901064,07/03/2020,True
08/02/2022,39963.0,14.0,AT,8901064,07/03/2020,True
07/02/2022,28872.0,23.0,AT,8901064,07/03/2020,True
06/02/2022,26017.0,17.0,AT,8901064,07/03/2020,True
05/02/2022,30062.0,21.0,AT,8901064,07/03/2020,True
04/02/2022,33263.0,16.0,AT,8901064,07/03/2020,True
03/02/2022,36943.0,22.0,AT,8901064,07/03/2020,True
02/02/2022,33748.0,17.0,AT,8901064,07/03/2020,True
01/02/2022,44156.0,11.0,AT,8901064,07/03/2020,True
31/01/2022,27862.0,11.0,AT,8901064,07/03/2020,True
30/01/2022,26260.0,15.0,AT,8901064,07/03/2020,True
29/01/2022,29060.0,12.0,AT,8901064,07/03/2020,True
28/01/2022,33710.0,18.0,AT,8901064,07/03/2020,True
27/01/2022,37959.0,15.0,AT,8901064,07/03/2020,True
26/01/2022,35885.0,9.0,AT,8901064,07/03/2020,True
25/01/2022,38248.0,10.0,AT,8901064,07/03/2020,True
24/01/2022,26760.0,12.0,AT,8901064,07/03/2020,True
23/01/2022,25245.0,15.0,AT,8901064,07/03/2020,True
22/01/2022,23431.0,8.0,AT,8901064,07/03/2020,True
21/01/2022,26741.0,14.0,AT,8901064,07/03/2020,True
20/01/2022,29744.0,5.0,AT,8901064,07/03/2020,True
19/01/2022,25203.0,11.0,AT,8901064,07/03/2020,True
18/01/2022,28192.0,5.0,AT,8901064,07/03/2020,True
17/01/2022,18369.0,5.0,AT,8901064,07/03/2020,True
16/01/2022,16191.0,9.0,AT,8901064,07/03/2020,True
15/01/2022,14953.0,8.0,AT,8901064,07/03/2020,True
14/01/2022,17128.0,11.0,AT,8901064,07/03/2020,True
13/01/2022,16997.0,4.0,AT,8901064,07/03/2020,True
12/01/2022,16877.0,8.0,AT,8901064,07/03/2020,True
11/01/2022,16552.0,9.0,AT,8901064,07/03/2020,True
10/01/2022,12705.0,11.0,AT,8901064,07/03/2020,True
09/01/2022,10941.0,12.0,AT,8901064,07/03/2020,True
08/01/2022,10725.0,7.0,AT,8901064,07/03/2020,True
07/01/2022,7058.0,9.0,AT,8901064,07/03/2020,True
06/01/2022,8901.0,6.0,AT,8901064,07/03/2020,True
05/01/2022,8796.0,8.0,AT,8901064,07/03/2020,True
04/01/2022,10085.0,10.0,AT,8901064,07/03/2020,True
03/01/2022,6000.0,16.0,AT,8901064,07/03/2020,True
02/01/2022,3491.0,10.0,AT,8901064,07/03/2020,True
01/01/2022,3002.0,8.0,AT,8901064,07/03/2020,True
31/12/2021,3703.0,11.0,AT,8901064,07/03/2020,True
30/12/2021,3815.0,24.0,AT,8901064,07/03/2020,True
29/12/2021,3182.0,14.0,AT,8901064,07/03/2020,True
28/12/2021,3341.0,16.0,AT,8901064,07/03/2020,True
27/12/2021,2605.0,18.0,AT,8901064,07/03/2020,True
26/12/2021,1735.0,15.0,AT,8901064,07/03/2020,True
25/12/2021,1634.0,14.0,AT,8901064,07/03/2020,True
24/12/2021,2117.0,9.0,AT,8901064,07/03/2020,True
23/12/2021,2268.0,17.0,AT,8901064,07/03/2020,True
22/12/2021,2163.0,15.0,AT,8901064,07/03/2020,True
21/12/2021,2817.0,21.0,AT,8901064,07/03/2020,True
20/12/2021,1950.0,18.0,AT,8901064,07/03/2020,True
19/12/2021,1887.0,28.0,AT,8901064,07/03/2020,True
18/12/2021,1989.0,23.0,AT,8901064,07/03/2020,True
17/12/2021,2349.0,25.0,AT,8901064,07/03/2020,True
16/12/2021,2700.0,26.0,AT,8901064,07/03/2020,True
15/12/2021,2934.0,29.0,AT,8901064,07/03/2020,True
14/12/2021,4131.0,41.0,AT,8901064,07/03/2020,True
13/12/2021,2935.0,40.0,AT,8901064,07/03/2020,True
12/12/2021,3263.0,34.0,AT,8901064,07/03/2020,True
11/12/2021,3270.0,32.0,AT,8901064,07/03/2020,True
10/12/2021,4826.0,44.0,AT,8901064,07/03/2020,True
09/12/2021,3125.0,44.0,AT,8901064,07/03/2020,True
08/12/2021,4316.0,51.0,AT,8901064,07/03/2020,True
07/12/2021,6087.0,54.0,AT,8901064,07/03/2020,True
06/12/2021,4431.0,45.0,AT,8901064,07/03/2020,True
05/12/2021,4270.0,42.0,AT,8901064,07/03/2020,True
04/12/2021,5315.0,51.0,AT,8901064,07/03/2020,True
03/12/2021,6267.0,59.0,AT,8901064,07/03/2020,True
02/12/2021,7261.0,59.0,AT,8901064,07/03/2020,True
01/12/2021,8774.0,62.0,AT,8901064,07/03/2020,True
30/11/2021,10966.0,39.0,AT,8901064,07/03/2020,True
29/11/2021,8109.0,66.0,AT,8901064,07/03/2020,True
28/11/2021,7988.0,56.0,AT,8901064,07/03/2020,True
27/11/2021,9622.0,47.0,AT,8901064,07/03/2020,True
26/11/2021,12053.0,65.0,AT,8901064,07/03/2020,True
25/11/2021,12127.0,60.0,AT,8901064,07/03/2020,True
24/11/2021,14462.0,48.0,AT,8901064,07/03/2020,True
23/11/2021,14517.0,53.0,AT,8901064,07/03/2020,True
22/11/2021,11978.0,55.0,AT,8901064,07/03/2020,True
21/11/2021,11638.0,54.0,AT,8901064,07/03/2020,True
20/11/2021,14104.0,39.0,AT,8901064,07/03/2020,True
19/11/2021,14075.0,50.0,AT,8901064,07/03/2020,True
18/11/2021,14890.0,44.0,AT,8901064,07/03/2020,True
17/11/2021,15027.0,46.0,AT,8901064,07/03/2020,True
16/11/2021,16473.0,38.0,AT,8901064,07/03/2020,True
15/11/2021,10981.0,37.0,AT,8901064,07/03/2020,True
14/11/2021,11204.0,41.0,AT,8901064,07/03/2020,True
13/11/2021,11440.0,48.0,AT,8901064,07/03/2020,True
12/11/2021,12661.0,45.0,AT,8901064,07/03/2020,True
11/11/2021,10591.0,51.0,AT,8901064,07/03/2020,True
10/11/2021,13224.0,25.0,AT,8901064,07/03/2020,True
09/11/2021,11977.0,29.0,AT,8901064,07/03/2020,True
08/11/2021,7760.0,27.0,AT,8901064,07/03/2020,True
07/11/2021,8023.0,19.0,AT,8901064,07/03/2020,True
06/11/2021,8126.0,21.0,AT,8901064,07/03/2020,True
