current_date,cases,deaths,country,population,first_date,high_risk_2w,day,month,year,season,weekday,holiday,nr_months,ratio,cases_100k,current_risk,avg_2weeks,avg_2w_100k,sum_2weeks,sum_2w_100k
2022-03-07,30498.0,10.0,AT,8901064,2020-03-07,,7,3,2022,1,0,False,24,3049.8,342.6331953123806,True,28894.875,324.62270802681564,462318.0,5193.96332842905
2022-03-06,26960.0,13.0,AT,8901064,2020-03-07,,6,3,2022,1,6,False,23,2073.85,302.8851382261716,True,28361.875,318.6346598563947,453790.0,5098.154557702315
2022-03-05,28015.0,24.0,AT,8901064,2020-03-07,,5,3,2022,1,5,False,23,1167.29,314.73765383554144,True,28298.25,317.9198576709481,452772.0,5086.717722735169
2022-03-04,32108.0,23.0,AT,8901064,2020-03-07,,4,3,2022,1,4,False,23,1396.0,360.72092055511564,True,28470.125,319.8508066001997,455522.0,5117.612905603195
2022-03-03,32534.0,26.0,AT,8901064,2020-03-07,,3,3,2022,1,3,False,23,1251.31,365.5068652466716,True,28402.9375,319.0959811096741,454447.0,5105.535697754785
2022-03-02,32112.0,26.0,AT,8901064,2020-03-07,,2,3,2022,1,2,False,23,1235.08,360.7658590029237,True,28808.625,323.65372274595484,460938.0,5178.459563935277
2022-03-01,41987.0,31.0,AT,8901064,2020-03-07,,1,3,2022,1,1,False,23,1354.42,471.70765202901583,True,28466.75,319.8128897848617,455468.0,5117.006236557787
2022-02-28,27874.0,24.0,AT,8901064,2020-03-07,,28,2,2022,1,0,False,23,1161.42,313.1535735503081,True,27357.9375,307.35581161982435,437727.0,4917.69298591719
2022-02-27,21561.0,27.0,AT,8901064,2020-03-07,,27,2,2022,1,6,False,23,798.56,242.22946829727323,True,27188.625,305.45365138369976,435018.0,4887.258422139196
2022-02-26,22590.0,26.0,AT,8901064,2020-03-07,,26,2,2022,1,5,False,23,868.85,253.78988399589082,True,27713.875,311.35463131149265,443422.0,4981.674100983882
2022-02-25,25565.0,33.0,AT,8901064,2020-03-07,,25,2,2022,1,4,False,23,774.7,287.2128545531186,True,28385.125,318.8958645842789,454162.0,5102.333833348463
2022-02-24,30412.0,26.0,AT,8901064,2020-03-07,,24,2,2022,1,3,False,23,1169.69,341.6670186845078,True,28999.625,325.79953362878865,463994.0,5212.792538060618
2022-02-23,28973.0,23.0,AT,8901064,2020-03-07,,23,2,2022,1,2,False,23,1259.7,325.5004120855664,True,29596.5625,332.5058948008912,473545.0,5320.094316814259
2022-02-22,35654.0,26.0,AT,8901064,2020-03-07,,22,2,2022,1,1,False,23,1371.31,400.55885453694077,True,29590.25,332.4349763129442,473444.0,5318.959621007107
