cases,deaths,population,country,high_risk_2w,current_date,first_date,nr_months,ratio,cases_100k,current_risk
8.0,0.0,25203200.0,AU,False,2020-11-30,2019-12-31,11,,0.03174200101574403,False
11.0,0.0,25203200.0,AU,False,2020-11-29,2019-12-31,10,,0.043645251396648044,False
7.0,0.0,25203200.0,AU,False,2020-11-28,2019-12-31,10,,0.02777425088877603,False
13.0,0.0,25203200.0,AU,False,2020-11-27,2019-12-31,10,,0.05158075165058405,False
6.0,0.0,25203200.0,AU,False,2020-11-26,2019-12-31,10,,0.023806500761808024,False
13.0,0.0,25203200.0,AU,False,2020-11-25,2019-12-31,10,,0.05158075165058405,False
14.0,0.0,25203200.0,AU,False,2020-11-24,2019-12-31,10,,0.05554850177755206,False
14.0,0.0,25203200.0,AU,False,2020-11-23,2019-12-31,10,,0.05554850177755206,False
18.0,0.0,25203200.0,AU,False,2020-11-22,2019-12-31,10,,0.07141950228542407,False
5.0,0.0,25203200.0,AU,False,2020-11-21,2019-12-31,10,,0.01983875063484002,False
7.0,0.0,25203200.0,AU,False,2020-11-20,2019-12-31,10,,0.02777425088877603,False
21.0,0.0,25203200.0,AU,False,2020-11-19,2019-12-31,10,,0.08332275266632809,False
6.0,0.0,25203200.0,AU,False,2020-11-18,2019-12-31,10,,0.023806500761808024,False
25.0,0.0,25203200.0,AU,False,2020-11-17,2019-12-31,10,,0.09919375317420011,False
14.0,0.0,25203200.0,AU,False,2020-11-16,2019-12-31,10,,0.05554850177755206,False
8.0,0.0,25203200.0,AU,False,2020-11-15,2019-12-31,10,,0.03174200101574403,False
5.0,0.0,25203200.0,AU,False,2020-11-14,2019-12-31,10,,0.01983875063484002,False
12.0,0.0,25203200.0,AU,False,2020-11-13,2019-12-31,10,,0.04761300152361605,False
8.0,0.0,25203200.0,AU,False,2020-11-12,2019-12-31,10,,0.03174200101574403,False
10.0,0.0,25203200.0,AU,False,2020-11-11,2019-12-31,10,,0.03967750126968004,False
10.0,0.0,25203200.0,AU,False,2020-11-10,2019-12-31,10,,0.03967750126968004,False
