current_date,cases,deaths,country,population,first_date,high_risk_2w,day,month,year,season,weekday,nr_months,ratio,cases_100k,current_risk,avg_2weeks,avg_2w_100k,sum_2weeks,sum_2w_100k
2020-12-14,6,0,AU,25203200.0,2019-12-31,,14,12,2020,4,0,11,,0.023806500761808024,False,9.8125,0.03893354812087354,157.0,0.6229367699339766
2020-12-13,13,0,AU,25203200.0,2019-12-31,,13,12,2020,4,6,11,,0.05158075165058405,False,9.875,0.03918153250380904,158.0,0.6269045200609447
2020-12-12,12,0,AU,25203200.0,2019-12-31,,12,12,2020,4,5,11,,0.04761300152361605,False,9.875,0.03918153250380904,158.0,0.6269045200609447
2020-12-11,7,0,AU,25203200.0,2019-12-31,,11,12,2020,4,4,11,,0.02777425088877603,False,9.5,0.03769362620619604,152.0,0.6030980192991366
2020-12-10,6,0,AU,25203200.0,2019-12-31,,10,12,2020,4,3,11,,0.023806500761808024,False,9.875,0.03918153250380904,158.0,0.6269045200609447
2020-12-09,15,0,AU,25203200.0,2019-12-31,,9,12,2020,4,2,11,,0.05951625190452006,False,10.375,0.04116540756729304,166.0,0.6586465210766886
2020-12-08,7,0,AU,25203200.0,2019-12-31,,8,12,2020,4,1,11,,0.02777425088877603,False,10.3125,0.040917423184357544,165.0,0.6546787709497207
2020-12-07,9,0,AU,25203200.0,2019-12-31,,7,12,2020,4,0,11,,0.035709751142712035,False,11.0,0.043645251396648044,176.0,0.6983240223463687
2020-12-06,7,0,AU,25203200.0,2019-12-31,,6,12,2020,4,6,11,,0.02777425088877603,False,10.75,0.04265331386490604,172.0,0.6824530218384967
2020-12-05,10,0,AU,25203200.0,2019-12-31,,5,12,2020,4,5,11,,0.03967750126968004,False,10.75,0.04265331386490604,172.0,0.6824530218384967
2020-12-04,16,0,AU,25203200.0,2019-12-31,,4,12,2020,4,4,11,,0.06348400203148806,False,11.4375,0.04538114207719655,183.0,0.7260982732351448
2020-12-03,11,0,AU,25203200.0,2019-12-31,,3,12,2020,4,3,11,,0.043645251396648044,False,10.8125,0.04290129824784154,173.0,0.6864207719654647
2020-12-02,8,0,AU,25203200.0,2019-12-31,,2,12,2020,4,2,11,,0.03174200101574403,False,11.6875,0.04637307960893855,187.0,0.7419692737430168
2020-12-01,11,1,AU,25203200.0,2019-12-31,,1,12,2020,4,1,11,11.0,0.043645251396648044,False,12.0625,0.04786098590655155,193.0,0.7657757745048248
2020-11-30,8,0,AU,25203200.0,2019-12-31,False,30,11,2020,4,0,11,,0.03174200101574403,False,11.875,0.04711703275774505,190.0,0.7538725241239208
2020-11-29,11,0,AU,25203200.0,2019-12-31,False,29,11,2020,4,6,10,,0.043645251396648044,False,11.6875,0.04637307960893855,187.0,0.7419692737430168
2020-11-28,7,0,AU,25203200.0,2019-12-31,False,28,11,2020,4,5,10,,0.02777425088877603,False,11.75,0.046621063991874045,188.0,0.7459370238699847
2020-11-27,13,0,AU,25203200.0,2019-12-31,False,27,11,2020,4,4,10,,0.05158075165058405,False,11.8125,0.04686904837480955,189.0,0.7499047739969528
2020-11-26,6,0,AU,25203200.0,2019-12-31,False,26,11,2020,4,3,10,,0.023806500761808024,False,11.625,0.04612509522600305,186.0,0.7380015236160488
2020-11-25,13,0,AU,25203200.0,2019-12-31,False,25,11,2020,4,2,10,,0.05158075165058405,False,11.875,0.04711703275774505,190.0,0.7538725241239208
2020-11-24,14,0,AU,25203200.0,2019-12-31,False,24,11,2020,4,1,10,,0.05554850177755206,False,11.4375,0.04538114207719655,183.0,0.7260982732351448
2020-11-23,14,0,AU,25203200.0,2019-12-31,False,23,11,2020,4,0,10,,0.05554850177755206,False,11.0,0.043645251396648044,176.0,0.6983240223463687
2020-11-22,18,0,AU,25203200.0,2019-12-31,False,22,11,2020,4,6,10,,0.07141950228542407,False,10.875,0.043149282630777046,174.0,0.6903885220924327
2020-11-21,5,0,AU,25203200.0,2019-12-31,False,21,11,2020,4,5,10,,0.01983875063484002,False,10.4375,0.04141339195022854,167.0,0.6626142712036567
2020-11-20,7,0,AU,25203200.0,2019-12-31,False,20,11,2020,4,4,10,,0.02777425088877603,False,10.875,0.043149282630777046,174.0,0.6903885220924327
2020-11-19,21,0,AU,25203200.0,2019-12-31,False,19,11,2020,4,3,10,,0.08332275266632809,False,10.9375,0.04339726701371254,175.0,0.6943562722194007
2020-11-18,6,0,AU,25203200.0,2019-12-31,False,18,11,2020,4,2,10,,0.023806500761808024,False,10.0625,0.03992548565261554,161.0,0.6388077704418487
2020-11-17,25,0,AU,25203200.0,2019-12-31,False,17,11,2020,4,1,10,,0.09919375317420011,False,10.0,0.03967750126968004,160.0,0.6348400203148806
2020-11-16,14,0,AU,25203200.0,2019-12-31,False,16,11,2020,4,0,10,,0.05554850177755206,False,8.9375,0.03546176675977654,143.0,0.5673882681564246
2020-11-15,8,0,AU,25203200.0,2019-12-31,False,15,11,2020,4,6,10,,0.03174200101574403,False,8.875,0.03521378237684104,142.0,0.5634205180294566
2020-11-14,5,0,AU,25203200.0,2019-12-31,False,14,11,2020,4,5,10,,0.01983875063484002,False,9.3125,0.03694967305738954,149.0,0.5911947689182326
2020-11-13,12,0,AU,25203200.0,2019-12-31,False,13,11,2020,4,4,10,,0.04761300152361605,False,9.8125,0.03893354812087354,157.0,0.6229367699339766
2020-11-12,8,0,AU,25203200.0,2019-12-31,False,12,11,2020,4,3,10,,0.03174200101574403,False,9.9375,0.039429516886744544,159.0,0.6308722701879127
2020-11-11,10,0,AU,25203200.0,2019-12-31,False,11,11,2020,4,2,10,,0.03967750126968004,False,9.875,0.03918153250380904,158.0,0.6269045200609447
2020-11-10,10,0,AU,25203200.0,2019-12-31,False,10,11,2020,4,1,10,,0.03967750126968004,False,10.5625,0.04190936071609954,169.0,0.6705497714575926
2020-11-09,6,0,AU,25203200.0,2019-12-31,False,9,11,2020,4,0,10,,0.023806500761808024,False,10.875,0.043149282630777046,174.0,0.6903885220924327
2020-11-08,7,0,AU,25203200.0,2019-12-31,False,8,11,2020,4,6,10,,0.02777425088877603,False,11.625,0.04612509522600305,186.0,0.7380015236160488
2020-11-07,12,0,AU,25203200.0,2019-12-31,False,7,11,2020,4,5,10,,0.04761300152361605,False,12.5625,0.04984486097003555,201.0,0.7975177755205688
2020-11-06,11,0,AU,25203200.0,2019-12-31,False,6,11,2020,4,4,10,,0.043645251396648044,False,12.6875,0.050340829735906555,203.0,0.8054532757745049
2020-11-05,12,0,AU,25203200.0,2019-12-31,False,5,11,2020,4,3,10,,0.04761300152361605,False,13.9375,0.055300517394616555,223.0,0.8848082783138649
2020-11-04,8,0,AU,25203200.0,2019-12-31,False,4,11,2020,4,2,10,,0.03174200101574403,False,13.75,0.054556564245810055,220.0,0.8729050279329609
2020-11-03,7,0,AU,25203200.0,2019-12-31,False,3,11,2020,4,1,10,,0.02777425088877603,False,13.6875,0.05430857986287455,219.0,0.8689372778059928
2020-11-02,5,0,AU,25203200.0,2019-12-31,False,2,11,2020,4,0,10,,0.01983875063484002,False,14.0,0.05554850177755206,224.0,0.8887760284408329
2020-11-01,8,0,AU,25203200.0,2019-12-31,False,1,11,2020,4,6,10,,0.03174200101574403,False,14.25,0.05654043930929406,228.0,0.904647028948705
2020-10-31,13,0,AU,25203200.0,2019-12-31,False,31,10,2020,4,5,10,,0.05158075165058405,False,15.0625,0.059764236287455565,241.0,0.956227780599289
2020-10-30,15,0,AU,25203200.0,2019-12-31,False,30,10,2020,4,4,9,,0.05951625190452006,False,15.75,0.062492064499746064,252.0,0.999873031995937
2020-10-29,13,2,AU,25203200.0,2019-12-31,False,29,10,2020,4,3,9,6.5,0.05158075165058405,False,16.75,0.06645981462671406,268.0,1.063357034027425
2020-10-28,14,0,AU,25203200.0,2019-12-31,False,28,10,2020,4,2,9,,0.05554850177755206,False,17.3125,0.06869167407313358,277.0,1.0990667851701372
2020-10-27,7,0,AU,25203200.0,2019-12-31,False,27,10,2020,4,1,9,,0.02777425088877603,False,17.6875,0.07017958037074658,283.0,1.1228732859319452
2020-10-26,21,0,AU,25203200.0,2019-12-31,False,26,10,2020,4,0,9,,0.08332275266632809,False,18.1875,0.07216345543423057,291.0,1.1546152869476891
2020-10-25,15,0,AU,25203200.0,2019-12-31,False,25,10,2020,4,6,9,,0.05951625190452006,False,18.3125,0.07265942420010157,293.0,1.1625507872016252
2020-10-24,18,0,AU,25203200.0,2019-12-31,False,24,10,2020,4,5,9,,0.07141950228542407,False,18.875,0.07489128364652108,302.0,1.1982605383443372
2020-10-23,22,0,AU,25203200.0,2019-12-31,False,23,10,2020,4,4,9,,0.08729050279329609,False,18.25,0.07241143981716608,292.0,1.1585830370746573
2020-10-22,14,0,AU,25203200.0,2019-12-31,False,22,10,2020,4,3,9,,0.05554850177755206,False,18.4375,0.07315539296597258,295.0,1.1704862874555613
2020-10-21,31,0,AU,25203200.0,2019-12-31,False,21,10,2020,4,2,9,,0.12300025393600812,False,18.375,0.07290740858303707,294.0,1.1665185373285931
2020-10-20,9,1,AU,25203200.0,2019-12-31,False,20,10,2020,4,1,9,9.0,0.035709751142712035,False,17.375,0.06893965845606907,278.0,1.1030345352971052
2020-10-19,7,0,AU,25203200.0,2019-12-31,False,19,10,2020,4,0,9,,0.02777425088877603,False,17.3125,0.06869167407313358,277.0,1.0990667851701372
2020-10-18,12,0,AU,25203200.0,2019-12-31,False,18,10,2020,4,6,9,,0.04761300152361605,False,17.9375,0.07117151790248857,287.0,1.1387442864398172
2020-10-17,9,0,AU,25203200.0,2019-12-31,False,17,10,2020,4,5,9,,0.035709751142712035,False,19.25,0.07637918994413408,308.0,1.2220670391061452
2020-10-16,21,0,AU,25203200.0,2019-12-31,False,16,10,2020,4,4,9,,0.08332275266632809,False,18.6875,0.07414733049771458,299.0,1.1863572879634332
2020-10-15,24,5,AU,25203200.0,2019-12-31,False,15,10,2020,4,3,9,4.8,0.0952260030472321,False,18.5625,0.07365136173184357,297.0,1.1784217877094971
2020-10-14,31,1,AU,25203200.0,2019-12-31,False,14,10,2020,4,2,9,31.0,0.12300025393600812,False,17.3125,0.06869167407313358,277.0,1.0990667851701372
