current_date,description,inside,weapon,post,district,neighborhood,lat,lon,common_dist
2012-04-16 23:20:00,SHOOTING,0,FIREARM,743.0,WESTERN,Sandtown-Winchester,39.30374,-76.64344,0.0
2013-11-17 15:00:00,COMMON ASSAULT,1,HANDS,223.0,SOUTHEASTERN,Baltimore Highlands,39.29365,-76.56879,1.0
2013-04-05 15:55:00,AGG. ASSAULT,0,OTHER,731.0,WESTERN,Mondawmin,39.31043,-76.64657,1.0
2016-08-12 07:30:00,AUTO THEFT,0,NONE,822.0,SOUTHWESTERN,Tremont,39.28261,-76.69493,1.0
2011-06-29 17:00:00,LARCENY,0,NONE,832.0,SOUTHWESTERN,Violetville,39.26457,-76.67477,1.0
2015-09-16 20:20:00,COMMON ASSAULT,0,HANDS,842.0,SOUTHWESTERN,Shipley Hill,39.28422,-76.65457,1.0
2014-01-06 13:45:00,BURGLARY,1,NONE,632.0,NORTHWESTERN,Glen,39.35409,-76.69698,1.0
2012-09-01 22:00:00,LARCENY FROM AUTO,0,NONE,445.0,NORTHEASTERN,Cedmont,39.34859,-76.5376,1.0
2012-03-09 17:30:00,LARCENY,0,NONE,231.0,SOUTHEASTERN,Highlandtown,39.29019,-76.56848,1.0
2016-11-11 23:29:00,COMMON ASSAULT,0,HANDS,222.0,SOUTHEASTERN,Patterson Park Neighborhood,39.2919,-76.57016,1.0
2011-10-02 20:50:00,AGG. ASSAULT,1,FIREARM,913.0,SOUTHERN,Brooklyn,39.2339,-76.59694,0.0
2013-02-13 02:15:00,COMMON ASSAULT,0,HANDS,111.0,CENTRAL,Downtown,39.28977,-76.60991,1.0
2014-10-08 21:00:00,LARCENY FROM AUTO,0,NONE,941.0,SOUTHERN,Carroll - Camden Industrial Area,39.27844,-76.63802,1.0
2014-03-05 12:00:00,LARCENY,1,NONE,445.0,NORTHEASTERN,Cedmont,39.35113,-76.53295,1.0
2011-07-01 01:01:00,LARCENY,1,NONE,412.0,NORTHEASTERN,Better Waverly,39.32842,-76.60103,1.0
2012-03-18 19:00:00,LARCENY FROM AUTO,0,NONE,923.0,SOUTHERN,Lakeland,39.2579,-76.64434,1.0
2016-02-21 03:00:00,ASSAULT BY THREAT,1,NONE,233.0,SOUTHEASTERN,Canton Industrial Area,39.26882,-76.54317,0.0
2013-02-10 01:30:00,AGG. ASSAULT,1,HANDS,111.0,CENTRAL,Downtown,39.28835,-76.60683,0.0
2015-08-28 00:04:00,BURGLARY,1,NONE,213.0,SOUTHEASTERN,Fells Point,39.28376,-76.58853,1.0
2013-09-16 01:01:00,LARCENY,1,NONE,731.0,WESTERN,Mondawmin,39.31868,-76.65399,1.0
2013-09-22 02:00:00,LARCENY,1,NONE,941.0,SOUTHERN,Carroll - Camden Industrial Area,39.27648,-76.62549,1.0
2013-12-28 11:30:00,LARCENY,0,NONE,233.0,SOUTHEASTERN,Brewers Hill,39.28221,-76.56404,1.0
2013-07-29 16:40:00,LARCENY,1,NONE,831.0,SOUTHWESTERN,Morrell Park,39.25601,-76.66042,1.0
2016-08-18 17:00:00,LARCENY,0,NONE,622.0,NORTHWESTERN,Howard Park,39.33095,-76.70351,1.0
2013-03-25 12:30:00,LARCENY,1,NONE,213.0,SOUTHEASTERN,Fells Point,39.28624,-76.59348,1.0
2011-10-19 12:30:00,LARCENY,0,NONE,643.0,NORTHWESTERN,Ashburton,39.32607,-76.67633,1.0
2015-04-22 21:15:00,AGG. ASSAULT,1,OTHER,921.0,SOUTHERN,Mount Winans,39.26307,-76.64442,0.0
2011-09-24 23:00:00,LARCENY FROM AUTO,1,NONE,111.0,CENTRAL,Downtown,39.28938,-76.61977,1.0
2016-02-26 18:00:00,LARCENY FROM AUTO,0,NONE,241.0,SOUTHEASTERN,Bayview,39.28896,-76.53915,1.0
2013-09-14 21:30:00,LARCENY FROM AUTO,0,NONE,112.0,CENTRAL,Inner Harbor,39.28076,-76.61259,1.0
2011-06-04 16:00:00,LARCENY,0,NONE,922.0,SOUTHERN,Cherry Hill,39.24927,-76.61762,1.0
2014-08-03 19:00:00,AUTO THEFT,0,NONE,425.0,NORTHEASTERN,Rosemont East,39.35587,-76.53995,1.0
2015-05-15 00:05:00,LARCENY FROM AUTO,0,NONE,931.0,SOUTHERN,Hollins Market,39.28681,-76.63133,1.0
2016-05-17 22:00:00,LARCENY FROM AUTO,0,NONE,642.0,NORTHWESTERN,Callaway-Garrison,39.33329,-76.68165,1.0
2011-10-19 03:30:00,AGG. ASSAULT,1,OTHER,911.0,SOUTHERN,Hawkins Point,39.20254,-76.55649,0.0
2012-08-25 22:15:00,COMMON ASSAULT,1,HANDS,631.0,NORTHWESTERN,Fallstaff,39.36319,-76.70922,1.0
2014-01-05 23:00:00,COMMON ASSAULT,1,HANDS,213.0,SOUTHEASTERN,Fells Point,39.28459,-76.58941,1.0
2015-02-25 02:42:38,RAPE,1,OTHER,413.0,NORTHEASTERN,Stonewood-Pentwood-Winston,39.34599,-76.58726,0.0
2014-07-20 21:00:00,AUTO THEFT,0,NONE,842.0,SOUTHWESTERN,Shipley Hill,39.2856,-76.65821,1.0
2014-07-26 20:15:00,BURGLARY,1,NONE,823.0,SOUTHWESTERN,West Hills,39.29254,-76.7046,1.0
2013-11-18 23:15:00,ROBBERY - STREET,0,FIREARM,423.0,NORTHEASTERN,Hamilton Hills,39.3632,-76.56235,0.0
2012-12-15 19:30:00,LARCENY FROM AUTO,0,NONE,942.0,SOUTHERN,Sharp-Leadenhall,39.27471,-76.61593,1.0
2011-02-19 15:00:00,LARCENY,1,NONE,941.0,SOUTHERN,Carroll - Camden Industrial Area,39.27199,-76.62815,1.0
2015-10-23 01:10:00,COMMON ASSAULT,1,HANDS,922.0,SOUTHERN,Cherry Hill,39.24779,-76.62906,1.0
2015-10-29 01:00:00,ROBBERY - RESIDENCE,1,NONE,844.0,SOUTHWESTERN,Edmondson Village,39.30274,-76.68671,0.0
2012-11-19 04:00:00,ARSON,0,NONE,842.0,SOUTHWESTERN,Saint Josephs,39.28849,-76.67362,0.0
2012-01-19 12:40:00,ROBBERY - RESIDENCE,0,FIREARM,911.0,SOUTHERN,Curtis Bay,39.22967,-76.59045,0.0
2012-10-04 00:23:00,AGG. ASSAULT,0,FIREARM,343.0,EASTERN,Oliver,39.30951,-76.59782,1.0
2013-09-16 00:30:00,LARCENY,1,NONE,614.0,NORTHWESTERN,Central Park Heights,39.34857,-76.67517,1.0
2012-04-05 06:30:00,BURGLARY,1,NONE,533.0,NORTHERN,Greenspring,39.33334,-76.65883,1.0
2011-04-21 03:30:00,LARCENY,0,NONE,313.0,EASTERN,Oldtown,39.29924,-76.60001,1.0
2012-11-19 14:50:00,ASSAULT BY THREAT,1,NONE,532.0,NORTHWESTERN,Cylburn,39.34784,-76.66876,0.0
2012-02-18 19:00:00,LARCENY,1,NONE,213.0,SOUTHEASTERN,Fells Point,39.28314,-76.59351,1.0
2015-01-06 13:45:00,COMMON ASSAULT,1,HANDS,222.0,SOUTHEASTERN,Patterson Park Neighborhood,39.29131,-76.57063,1.0
2011-09-21 00:54:00,ROBBERY - COMMERCIAL,1,FIREARM,243.0,SOUTHEASTERN,Graceland Park,39.27356,-76.53132,0.0
2011-02-13 02:18:00,COMMON ASSAULT,1,HANDS,312.0,EASTERN,Oldtown,39.2993,-76.60336,1.0
2012-02-25 11:00:00,LARCENY,1,NONE,221.0,SOUTHEASTERN,McElderry Park,39.29853,-76.57736,1.0
2014-03-01 16:39:00,BURGLARY,1,NONE,742.0,WESTERN,Sandtown-Winchester,39.30545,-76.64216,1.0
2011-12-25 22:50:00,LARCENY,1,NONE,213.0,SOUTHEASTERN,Fells Point,39.28121,-76.5944,1.0
2012-12-24 03:46:00,BURGLARY,1,NONE,731.0,WESTERN,Panway/Braddish Avenue,39.31298,-76.66144,1.0
2013-06-16 21:00:00,BURGLARY,1,NONE,843.0,SOUTHWESTERN,Irvington,39.28475,-76.68475,1.0
2013-02-16 18:41:00,AUTO THEFT,0,NONE,932.0,SOUTHERN,Washington Village/Pigtown,39.28286,-76.63131,0.0
2012-06-18 22:45:00,ROBBERY - STREET,0,FIREARM,425.0,NORTHEASTERN,Glenham-Belhar,39.34507,-76.54516,0.0
2011-04-27 18:00:00,LARCENY,0,NONE,414.0,NORTHEASTERN,Woodbourne Heights,39.3586,-76.58932,1.0
2013-11-23 02:00:00,LARCENY FROM AUTO,0,NONE,942.0,SOUTHERN,Sharp-Leadenhall,39.27555,-76.61619,1.0
2013-01-11 11:00:00,LARCENY,1,NONE,513.0,NORTHERN,Better Waverly,39.32549,-76.6042,1.0
2011-03-01 07:00:00,AGG. ASSAULT,0,OTHER,532.0,NORTHERN,Cylburn,39.35063,-76.66659,0.0
2015-08-17 17:30:00,LARCENY FROM AUTO,0,NONE,143.0,CENTRAL,Seton Hill,39.29899,-76.62202,1.0
2012-08-27 09:15:00,LARCENY,1,NONE,111.0,CENTRAL,Downtown,39.28966,-76.60981,1.0
2015-03-31 23:30:00,LARCENY FROM AUTO,0,NONE,343.0,EASTERN,Oliver,39.30897,-76.60242,1.0
2012-07-04 20:00:00,BURGLARY,1,NONE,631.0,NORTHWESTERN,Reisterstown Station,39.35317,-76.69812,1.0
2013-04-02 16:00:00,LARCENY,0,NONE,133.0,CENTRAL,Reservoir Hill,39.31447,-76.63969,1.0
2016-02-01 08:56:00,ROBBERY - COMMERCIAL,1,NONE,733.0,WESTERN,Penn North,39.30955,-76.64192,0.0
2012-07-14 06:00:00,AUTO THEFT,0,NONE,731.0,WESTERN,Mondawmin,39.31349,-76.64678,1.0
2012-09-15 00:01:00,BURGLARY,1,NONE,721.0,WESTERN,Evergreen Lawn,39.29699,-76.65386,1.0
2016-07-01 23:00:00,AGG. ASSAULT,1,OTHER,331.0,EASTERN,Broadway East,39.31106,-76.58532,1.0
2012-12-06 16:30:00,LARCENY,0,NONE,111.0,CENTRAL,Downtown,39.28972,-76.60966,1.0
2015-11-27 08:00:00,LARCENY,0,NONE,921.0,SOUTHERN,Westport,39.26677,-76.63081,1.0
2012-02-15 16:15:00,COMMON ASSAULT,1,HANDS,743.0,WESTERN,Sandtown-Winchester,39.30347,-76.64318,1.0
2011-12-25 17:00:00,BURGLARY,1,NONE,814.0,SOUTHWESTERN,Winchester,39.30077,-76.66731,1.0
2014-02-21 13:30:00,LARCENY,1,NONE,132.0,CENTRAL,Bolton Hill,39.3063,-76.62328,1.0
2013-05-02 19:00:00,COMMON ASSAULT,1,HANDS,121.0,CENTRAL,Heritage Crossing,39.29703,-76.62667,1.0
2013-02-03 02:00:00,LARCENY FROM AUTO,0,NONE,532.0,NORTHERN,Parklane,39.34245,-76.66506,1.0
2013-04-19 15:30:00,LARCENY,0,NONE,843.0,SOUTHWESTERN,Allendale,39.29191,-76.68048,1.0
2016-09-02 15:00:00,AGG. ASSAULT,0,KNIFE,934.0,SOUTHERN,Carrollton Ridge,39.28149,-76.64811,0.0
2016-10-20 12:46:00,COMMON ASSAULT,0,HANDS,112.0,CENTRAL,Inner Harbor,39.28657,-76.61214,1.0
2013-10-12 09:15:00,COMMON ASSAULT,0,HANDS,713.0,WESTERN,Harlem Park,39.29692,-76.6333,1.0
2015-05-31 03:30:00,LARCENY FROM AUTO,0,NONE,622.0,NORTHWESTERN,Howard Park,39.33004,-76.69467,1.0
2014-04-19 12:00:00,COMMON ASSAULT,1,HANDS,432.0,NORTHEASTERN,Belair-Edison,39.31849,-76.56479,1.0
2016-03-30 10:28:00,ROBBERY - COMMERCIAL,1,FIREARM,434.0,NORTHEASTERN,Belair-Edison,39.31766,-76.57819,0.0
2012-07-28 13:20:00,LARCENY,1,NONE,142.0,CENTRAL,Mount Vernon,39.29691,-76.61999,1.0
2014-08-10 01:59:00,LARCENY,0,NONE,831.0,SOUTHWESTERN,Morrell Park,39.26784,-76.64937,1.0
2011-03-18 01:25:00,ROBBERY - COMMERCIAL,0,FIREARM,511.0,NORTHERN,Remington,39.31772,-76.61983,0.0
2016-02-05 19:00:00,COMMON ASSAULT,0,HANDS,843.0,SOUTHWESTERN,Irvington,39.28674,-76.68682,1.0
2011-07-29 23:37:00,SHOOTING,0,FIREARM,123.0,CENTRAL,Upton,39.30035,-76.62663,0.0
2012-05-18 08:30:00,LARCENY,0,NONE,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,39.33536,-76.60023,1.0
2013-01-15 19:30:00,LARCENY,0,NONE,821.0,SOUTHWESTERN,Wakefield,39.3099,-76.70143,1.0
2015-04-16 14:22:00,AGG. ASSAULT,0,KNIFE,812.0,SOUTHWESTERN,Mount Holly,39.311,-76.67501,1.0
2012-08-06 10:15:00,LARCENY,1,NONE,423.0,NORTHEASTERN,Hamilton Hills,39.35748,-76.57032,1.0
2015-11-04 12:45:00,COMMON ASSAULT,1,HANDS,532.0,NORTHERN,Parklane,39.34369,-76.65919,1.0
2015-09-07 22:30:00,AGG. ASSAULT,0,KNIFE,221.0,SOUTHEASTERN,McElderry Park,39.29479,-76.5788,0.0
2013-04-26 16:30:00,LARCENY,1,NONE,111.0,CENTRAL,Downtown,39.28879,-76.61423,1.0
2011-09-20 14:00:00,LARCENY FROM AUTO,1,NONE,531.0,NORTHERN,Hampden,39.33717,-76.62875,1.0
2012-07-18 02:00:00,BURGLARY,1,NONE,731.0,WESTERN,Mondawmin,39.31132,-76.65137,1.0
2016-09-04 12:00:00,LARCENY FROM AUTO,0,NONE,531.0,NORTHERN,Druid Hill Park,39.32342,-76.64684,1.0
2011-10-26 16:55:00,COMMON ASSAULT,1,HANDS,632.0,NORTHWESTERN,Cheswolde,39.36751,-76.67896,1.0
2011-03-06 18:00:00,AUTO THEFT,0,NONE,643.0,NORTHWESTERN,Dolfield,39.33752,-76.67908,1.0
2012-01-10 15:30:00,AGG. ASSAULT,0,HANDS,531.0,NORTHERN,Hampden,39.33123,-76.63505,0.0
2011-05-06 12:30:00,BURGLARY,1,NONE,813.0,SOUTHWESTERN,Rosemont,39.30101,-76.67085,1.0
2013-02-22 19:35:00,LARCENY,1,NONE,841.0,SOUTHWESTERN,Millhill,39.28388,-76.65512,1.0
2016-05-02 02:00:00,LARCENY,1,NONE,311.0,EASTERN,Greenmount West,39.30796,-76.60974,1.0
2011-11-28 20:00:00,COMMON ASSAULT,0,HANDS,622.0,NORTHWESTERN,Howard Park,39.33061,-76.69317,1.0
2011-11-19 19:50:00,LARCENY,1,NONE,112.0,CENTRAL,Inner Harbor,39.28655,-76.61134,1.0
2011-01-20 20:00:00,BURGLARY,1,NONE,425.0,NORTHEASTERN,Glenham-Belhar,39.34483,-76.54208,1.0
2015-02-25 13:00:00,COMMON ASSAULT,1,HANDS,243.0,SOUTHEASTERN,Broening Manor,39.27446,-76.5346,1.0
2013-12-20 22:15:00,ROBBERY - COMMERCIAL,1,FIREARM,632.0,NORTHWESTERN,Woodmere,39.34879,-76.69185,0.0
2014-05-26 05:12:00,COMMON ASSAULT,0,HANDS,213.0,SOUTHEASTERN,Fells Point,39.28557,-76.59012,1.0
2011-12-21 17:30:00,BURGLARY,1,NONE,212.0,SOUTHEASTERN,Butcher's Hill,39.29219,-76.58916,1.0
2013-07-13 18:35:00,AGG. ASSAULT,1,OTHER,424.0,NORTHEASTERN,North Harford Road,39.36056,-76.53909,0.0
2012-06-30 18:50:00,ROBBERY - STREET,0,NONE,514.0,NORTHERN,Barclay,39.31374,-76.61263,0.0
2015-06-17 00:30:00,AUTO THEFT,0,NONE,641.0,NORTHWESTERN,Hanlon-Longwood,39.31449,-76.67129,1.0
2014-08-19 08:30:00,LARCENY,1,NONE,932.0,SOUTHERN,Washington Village/Pigtown,39.28323,-76.62677,1.0
2013-07-22 03:20:00,HOMICIDE,0,OTHER,141.0,CENTRAL,Mid-Town Belvedere,39.30031,-76.61854,0.0
2013-07-19 22:00:00,LARCENY FROM AUTO,0,NONE,133.0,CENTRAL,Reservoir Hill,39.31691,-76.63663,1.0
2016-08-21 15:17:00,LARCENY,1,NONE,731.0,NORTHWESTERN,Mondawmin,39.318,-76.65821,1.0
2014-06-01 20:00:00,LARCENY FROM AUTO,0,NONE,531.0,NORTHERN,Hampden,39.33423,-76.63372,1.0
2012-10-16 15:58:00,LARCENY,1,NONE,614.0,NORTHWESTERN,Central Park Heights,39.34854,-76.67499,1.0
2016-10-30 06:00:00,LARCENY,0,NONE,443.0,NORTHEASTERN,Frankford,39.32879,-76.5416,1.0
2011-08-20 21:00:00,COMMON ASSAULT,1,HANDS,321.0,EASTERN,Dunbar-Broadway,39.29758,-76.59087,1.0
2012-12-09 15:00:00,LARCENY FROM AUTO,0,NONE,213.0,SOUTHEASTERN,Fells Point,39.28336,-76.58996,1.0
2011-11-12 16:45:00,COMMON ASSAULT,1,HANDS,844.0,SOUTHWESTERN,Edmondson Village,39.29933,-76.68222,1.0
2013-05-22 23:10:00,BURGLARY,1,NONE,312.0,EASTERN,Oldtown,39.29768,-76.60184,1.0
2015-09-10 21:21:00,AGG. ASSAULT,1,KNIFE,722.0,WESTERN,Midtown-Edmondson,39.29709,-76.65258,1.0
2011-05-08 19:30:00,COMMON ASSAULT,1,HANDS,421.0,NORTHEASTERN,Lauraville,39.34516,-76.56899,1.0
2015-10-09 19:37:00,COMMON ASSAULT,0,HANDS,443.0,NORTHEASTERN,Frankford,39.32004,-76.55173,1.0
2012-02-26 20:00:00,COMMON ASSAULT,1,HANDS,224.0,SOUTHEASTERN,Ellwood Park/Monument,39.2954,-76.57566,1.0
2015-01-10 16:45:00,ROBBERY - STREET,0,NONE,223.0,SOUTHEASTERN,Baltimore Highlands,39.29193,-76.56662,0.0
2016-05-16 02:00:00,AGG. ASSAULT,1,HANDS,242.0,SOUTHEASTERN,Greektown,39.28706,-76.55422,0.0
2013-09-22 15:00:00,AUTO THEFT,0,NONE,445.0,NORTHEASTERN,Cedmont,39.34437,-76.54263,1.0
2013-05-17 23:25:00,LARCENY,1,NONE,923.0,SOUTHERN,Lakeland,39.25074,-76.64385,1.0
2016-08-27 02:00:00,AGG. ASSAULT,0,KNIFE,821.0,SOUTHWESTERN,Franklintown,39.30504,-76.70034,1.0
2012-06-06 14:20:00,COMMON ASSAULT,0,HANDS,341.0,EASTERN,Barclay,39.31131,-76.6135,1.0
2015-09-11 19:00:00,LARCENY FROM AUTO,0,NONE,441.0,NORTHEASTERN,Cedonia,39.33462,-76.53313,1.0
2013-10-28 16:15:00,ROBBERY - STREET,0,NONE,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,39.33255,-76.58896,0.0
