post,lat,lon,description,weapon,district,neighborhood,inside,common_dist,current_date,dist_center,day_period,crime_type
743.0,39.30374,-76.64344,SHOOTING,4,WESTERN,Sandtown-Winchester,0.0,0.0,2012-04-16 23:20:00,2.431130175188173,8,51
223.0,39.29365,-76.56879,COMMON ASSAULT,1,SOUTHEASTERN,Baltimore Highlands,1.0,1.0,2013-11-17 15:00:00,4.312685077406402,6,21
731.0,39.31043,-76.64657,AGG. ASSAULT,2,WESTERN,Mondawmin,0.0,1.0,2013-04-05 15:55:00,2.6850344631365393,6,32
822.0,39.28261,-76.69493,AUTO THEFT,0,SOUTHWESTERN,Tremont,0.0,1.0,2016-08-12 07:30:00,7.366562225181946,3,3
832.0,39.26457,-76.67477,LARCENY,0,SOUTHWESTERN,Violetville,0.0,1.0,2011-06-29 17:00:00,6.979155964190624,6,1
842.0,39.28422,-76.65457,COMMON ASSAULT,1,SOUTHWESTERN,Shipley Hill,0.0,1.0,2015-09-16 20:20:00,4.234973408866836,7,21
632.0,39.35409,-76.69698,BURGLARY,0,NORTHWESTERN,Glen,1.0,1.0,2014-01-06 13:45:00,8.712177031928697,5,15
445.0,39.34859,-76.5376,LARCENY FROM AUTO,0,NORTHEASTERN,Cedmont,0.0,1.0,2012-09-01 22:00:00,8.121744649172657,8,2
231.0,39.29019,-76.56848,LARCENY,0,SOUTHEASTERN,Highlandtown,0.0,1.0,2012-03-09 17:30:00,4.488530401314393,6,1
222.0,39.2919,-76.57016,COMMON ASSAULT,1,SOUTHEASTERN,Patterson Park Neighborhood,0.0,1.0,2016-11-11 23:29:00,4.277787617956037,8,21
913.0,39.2339,-76.59694,AGG. ASSAULT,4,SOUTHERN,Brooklyn,1.0,0.0,2011-10-02 20:50:00,8.339118802903478,7,32
111.0,39.28977,-76.60991,COMMON ASSAULT,1,CENTRAL,Downtown,0.0,1.0,2013-02-13 02:15:00,2.0286781631533706,1,21
941.0,39.27844,-76.63802,LARCENY FROM AUTO,0,SOUTHERN,Carroll - Camden Industrial Area,0.0,1.0,2014-10-08 21:00:00,3.761278661201626,8,2
445.0,39.35113,-76.53295,LARCENY,0,NORTHEASTERN,Cedmont,1.0,1.0,2014-03-05 12:00:00,8.611341260335971,5,1
412.0,39.32842,-76.60103,LARCENY,0,NORTHEASTERN,Better Waverly,1.0,1.0,2011-07-01 01:01:00,2.646466224011481,1,1
923.0,39.2579,-76.64434,LARCENY FROM AUTO,0,SOUTHERN,Lakeland,0.0,1.0,2012-03-18 19:00:00,6.042867275482499,7,2
233.0,39.26882,-76.54317,ASSAULT BY THREAT,0,SOUTHEASTERN,Canton Industrial Area,1.0,0.0,2016-02-21 03:00:00,7.573877394254602,2,31
111.0,39.28835,-76.60683,AGG. ASSAULT,1,CENTRAL,Downtown,1.0,0.0,2013-02-10 01:30:00,2.2566700434229796,1,32
213.0,39.28376,-76.58853,BURGLARY,0,SOUTHEASTERN,Fells Point,1.0,1.0,2015-08-28 00:04:00,3.5193308744822915,1,15
731.0,39.31868,-76.65399,LARCENY,0,WESTERN,Mondawmin,1.0,1.0,2013-09-16 01:01:00,3.530678171822608,1,1
941.0,39.27648,-76.62549,LARCENY,0,SOUTHERN,Carroll - Camden Industrial Area,1.0,1.0,2013-09-22 02:00:00,3.5501927273904608,1,1
233.0,39.28221,-76.56404,LARCENY,0,SOUTHEASTERN,Brewers Hill,0.0,1.0,2013-12-28 11:30:00,5.253085776301692,4,1
831.0,39.25601,-76.66042,LARCENY,0,SOUTHWESTERN,Morrell Park,1.0,1.0,2013-07-29 16:40:00,6.90250195669315,6,1
622.0,39.33095,-76.70351,LARCENY,0,NORTHWESTERN,Howard Park,0.0,1.0,2016-08-18 17:00:00,8.002139028258586,6,1
213.0,39.28624,-76.59348,LARCENY,0,SOUTHEASTERN,Fells Point,1.0,1.0,2013-03-25 12:30:00,3.033533396723264,5,1
643.0,39.32607,-76.67633,LARCENY,0,NORTHWESTERN,Ashburton,0.0,1.0,2011-10-19 12:30:00,5.620026948909154,5,1
921.0,39.26307,-76.64442,AGG. ASSAULT,2,SOUTHERN,Mount Winans,1.0,0.0,2015-04-22 21:15:00,5.526284551291091,8,32
111.0,39.28938,-76.61977,LARCENY FROM AUTO,0,CENTRAL,Downtown,1.0,1.0,2011-09-24 23:00:00,2.0435884582046664,8,2
241.0,39.28896,-76.53915,LARCENY FROM AUTO,0,SOUTHEASTERN,Bayview,0.0,1.0,2016-02-26 18:00:00,6.895343293138361,7,2
112.0,39.28076,-76.61259,LARCENY FROM AUTO,0,CENTRAL,Inner Harbor,0.0,1.0,2013-09-14 21:30:00,2.9820128979394664,8,2
922.0,39.24927,-76.61762,LARCENY,0,SOUTHERN,Cherry Hill,0.0,1.0,2011-06-04 16:00:00,6.475527604451764,6,1
425.0,39.35587,-76.53995,AUTO THEFT,0,NORTHEASTERN,Rosemont East,0.0,1.0,2014-08-03 19:00:00,8.446774405670649,7,3
931.0,39.28681,-76.63133,LARCENY FROM AUTO,0,SOUTHERN,Hollins Market,0.0,1.0,2015-05-15 00:05:00,2.666737773255153,1,2
642.0,39.33329,-76.68165,LARCENY FROM AUTO,0,NORTHWESTERN,Callaway-Garrison,0.0,1.0,2016-05-17 22:00:00,6.367342028081357,8,2
911.0,39.20254,-76.55649,AGG. ASSAULT,2,SOUTHERN,Hawkins Point,1.0,0.0,2011-10-19 03:30:00,12.733071581381243,2,32
631.0,39.36319,-76.70922,COMMON ASSAULT,1,NORTHWESTERN,Fallstaff,1.0,1.0,2012-08-25 22:15:00,10.1621207179001,8,21
213.0,39.28459,-76.58941,COMMON ASSAULT,1,SOUTHEASTERN,Fells Point,1.0,1.0,2014-01-05 23:00:00,3.399988724630756,8,21
413.0,39.34599,-76.58726,RAPE,2,NORTHEASTERN,Stonewood-Pentwood-Winston,1.0,0.0,2015-02-25 02:42:38,4.930104836971746,1,52
842.0,39.2856,-76.65821,AUTO THEFT,0,SOUTHWESTERN,Shipley Hill,0.0,1.0,2014-07-20 21:00:00,4.400489025167306,8,3
823.0,39.29254,-76.7046,BURGLARY,0,SOUTHWESTERN,West Hills,1.0,1.0,2014-07-26 20:15:00,7.837720691838518,7,15
423.0,39.3632,-76.56235,ROBBERY - STREET,4,NORTHEASTERN,Hamilton Hills,0.0,0.0,2013-11-18 23:15:00,7.708154008384689,8,11
