current_date,temperature,uncertainty,city,country,lat,lon
2001-09-01,24.797,0.348,Abidjan,Côte D'Ivoire,5.63,-3.23
2001-10-01,26.278,0.747,Abidjan,Côte D'Ivoire,5.63,-3.23
2001-11-01,27.374,0.465,Abidjan,Côte D'Ivoire,5.63,-3.23
2001-12-01,27.598000000000003,0.7559999999999999,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-01-01,27.192,0.308,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-02-01,28.796,0.361,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-03-01,28.564,0.39,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-04-01,28.508000000000003,0.6759999999999999,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-05-01,27.721,0.124,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-06-01,25.972,0.213,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-07-01,25.054,0.183,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-08-01,24.58,0.253,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-09-01,25.26,0.261,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-10-01,26.076,0.284,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-11-01,27.282,0.362,Abidjan,Côte D'Ivoire,5.63,-3.23
2002-12-01,27.087,0.514,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-01-01,27.59,0.477,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-02-01,28.863000000000003,0.379,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-03-01,28.98,0.383,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-04-01,28.169,0.282,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-05-01,27.91,0.247,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-06-01,25.993,0.471,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-07-01,25.221,0.234,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-08-01,24.88,0.3229999999999999,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-09-01,25.737,0.256,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-10-01,26.69400000000001,0.378,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-11-01,27.479,0.454,Abidjan,Côte D'Ivoire,5.63,-3.23
2003-12-01,27.092,0.531,Abidjan,Côte D'Ivoire,5.63,-3.23
2004-01-01,27.728,0.289,Abidjan,Côte D'Ivoire,5.63,-3.23
2004-02-01,28.705,0.428,Abidjan,Côte D'Ivoire,5.63,-3.23
2004-03-01,29.288,0.229,Abidjan,Côte D'Ivoire,5.63,-3.23
2004-04-01,28.152,0.197,Abidjan,Côte D'Ivoire,5.63,-3.23
