date,country
2020-01-01,AT
2020-01-06,AT
2020-04-13,AT
2020-05-01,AT
2020-05-21,AT
2020-06-01,AT
2020-06-11,AT
2020-08-15,AT
2020-10-26,AT
2020-11-01,AT
2020-12-08,AT
2020-12-25,AT
2020-12-26,AT
2021-01-01,AT
2021-01-06,AT
2021-04-05,AT
2021-05-01,AT
2021-05-13,AT
2021-05-24,AT
2021-06-03,AT
2021-08-15,AT
2021-10-26,AT
2021-11-01,AT
2021-12-08,AT
2021-12-25,AT
2021-12-26,AT
2022-01-01,AT
2022-01-06,AT
2022-04-18,AT
2022-05-01,AT
2022-05-26,AT
2022-06-06,AT
2022-06-16,AT
2022-08-15,AT
2022-10-26,AT
2022-11-01,AT
2022-12-08,AT
2022-12-25,AT
2022-12-26,AT
2020-01-01,BE
2020-04-12,BE
2020-04-13,BE
2020-05-01,BE
2020-05-21,BE
2020-06-01,BE
2020-07-21,BE
2020-08-15,BE
2020-11-01,BE
2020-11-11,BE
2020-12-25,BE
2021-01-01,BE
2021-04-04,BE
2021-04-05,BE
2021-05-01,BE
2021-05-13,BE
2021-05-24,BE
2021-07-21,BE
2021-08-15,BE
2021-11-01,BE
2021-11-11,BE
2021-12-25,BE
2022-01-01,BE
2022-04-17,BE
2022-04-18,BE
2022-05-01,BE
2022-05-26,BE
2022-06-06,BE
2022-07-21,BE
2022-08-15,BE
2022-11-01,BE
2022-11-11,BE
2022-12-25,BE
2020-01-01,BG
2020-03-03,BG
2020-04-17,BG
2020-04-19,BG
2020-04-20,BG
2020-05-01,BG
2020-05-06,BG
2020-05-24,BG
2020-09-06,BG
2020-09-22,BG
2020-11-01,BG
2020-12-24,BG
2020-12-25,BG
2020-12-26,BG
2021-01-01,BG
2021-03-03,BG
2021-04-30,BG
2021-05-01,BG
2021-05-02,BG
2021-05-03,BG
2021-05-06,BG
2021-05-24,BG
2021-09-06,BG
2021-09-22,BG
2021-11-01,BG
2021-12-24,BG
2021-12-25,BG
2021-12-26,BG
2022-01-01,BG
2022-03-03,BG
2022-04-22,BG
2022-04-24,BG
2022-04-25,BG
2022-05-01,BG
2022-05-06,BG
2022-05-24,BG
2022-09-06,BG
2022-09-22,BG
2022-11-01,BG
2022-12-24,BG
2022-12-25,BG
2022-12-26,BG
2020-01-01,HR
2020-01-06,HR
2020-04-12,HR
2020-04-13,HR
2020-05-01,HR
2020-05-30,HR
2020-06-11,HR
2020-06-22,HR
2020-08-05,HR
2020-08-15,HR
2020-11-01,HR
2020-11-18,HR
2020-12-25,HR
2020-12-26,HR
2021-01-01,HR
2021-01-06,HR
2021-04-04,HR
2021-04-05,HR
2021-05-01,HR
2021-05-30,HR
2021-06-03,HR
2021-06-22,HR
2021-08-05,HR
2021-08-15,HR
2021-11-01,HR
2021-11-18,HR
2021-12-25,HR
2021-12-26,HR
2022-01-01,HR
2022-01-06,HR
2022-04-17,HR
2022-04-18,HR
2022-05-01,HR
2022-05-30,HR
2022-06-16,HR
2022-06-22,HR
2022-08-05,HR
2022-08-15,HR
2022-11-01,HR
2022-11-18,HR
2022-12-25,HR
2022-12-26,HR
2020-01-01,CY
2020-01-06,CY
2020-03-02,CY
2020-03-25,CY
2020-04-01,CY
2020-04-17,CY
2020-04-20,CY
2020-04-21,CY
2020-05-01,CY
2020-06-07,CY
2020-06-08,CY
2020-08-15,CY
2020-10-01,CY
2020-10-28,CY
2020-12-24,CY
2020-12-25,CY
2020-12-26,CY
2021-01-01,CY
2021-01-06,CY
2021-03-15,CY
2021-03-25,CY
2021-04-01,CY
2021-04-30,CY
2021-05-01,CY
2021-05-03,CY
2021-05-04,CY
2021-06-20,CY
2021-06-21,CY
2021-08-15,CY
2021-10-01,CY
2021-10-28,CY
2021-12-24,CY
2021-12-25,CY
2021-12-26,CY
2022-01-01,CY
2022-01-06,CY
2022-03-07,CY
2022-03-25,CY
2022-04-01,CY
2022-04-22,CY
2022-04-25,CY
2022-04-26,CY
2022-05-01,CY
2022-06-12,CY
2022-06-13,CY
2022-08-15,CY
2022-10-01,CY
2022-10-28,CY
2022-12-24,CY
2022-12-25,CY
2022-12-26,CY
2020-01-01,CZ
2020-04-10,CZ
2020-04-13,CZ
2020-05-01,CZ
2020-05-08,CZ
2020-07-05,CZ
2020-07-06,CZ
2020-09-28,CZ
2020-10-28,CZ
2020-11-17,CZ
2020-12-24,CZ
2020-12-25,CZ
2020-12-26,CZ
2021-01-01,CZ
2021-04-02,CZ
2021-04-05,CZ
2021-05-01,CZ
2021-05-08,CZ
2021-07-05,CZ
2021-07-06,CZ
2021-09-28,CZ
2021-10-28,CZ
2021-11-17,CZ
2021-12-24,CZ
2021-12-25,CZ
2021-12-26,CZ
2022-01-01,CZ
2022-04-15,CZ
2022-04-18,CZ
2022-05-01,CZ
2022-05-08,CZ
2022-07-05,CZ
2022-07-06,CZ
2022-09-28,CZ
2022-10-28,CZ
2022-11-17,CZ
2022-12-24,CZ
2022-12-25,CZ
2022-12-26,CZ
2020-01-01,DK
2020-04-09,DK
2020-04-10,DK
2020-04-12,DK
2020-04-13,DK
2020-05-08,DK
2020-05-21,DK
2020-05-22,DK
2020-05-31,DK
2020-06-01,DK
2020-06-05,DK
2020-12-24,DK
2020-12-25,DK
2020-12-26,DK
2020-12-31,DK
2021-01-01,DK
2021-04-01,DK
2021-04-02,DK
2021-04-04,DK
2021-04-05,DK
2021-04-30,DK
2021-05-13,DK
2021-05-14,DK
2021-05-23,DK
2021-05-24,DK
2021-06-05,DK
2021-12-24,DK
2021-12-25,DK
2021-12-26,DK
2021-12-31,DK
2022-01-01,DK
2022-04-14,DK
2022-04-15,DK
2022-04-17,DK
2022-04-18,DK
2022-05-13,DK
2022-05-26,DK
2022-05-27,DK
2022-06-05,DK
2022-06-05,DK
2022-06-06,DK
2022-12-24,DK
2022-12-25,DK
2022-12-26,DK
2022-12-31,DK
2020-01-01,EE
2020-02-24,EE
2020-04-10,EE
2020-04-12,EE
2020-05-01,EE
2020-05-31,EE
2020-06-23,EE
2020-06-24,EE
2020-08-20,EE
2020-12-24,EE
2020-12-25,EE
2020-12-26,EE
2021-01-01,EE
2021-02-24,EE
2021-04-02,EE
2021-04-04,EE
2021-05-01,EE
2021-05-23,EE
2021-06-23,EE
2021-06-24,EE
2021-08-20,EE
2021-12-24,EE
2021-12-25,EE
2021-12-26,EE
2022-01-01,EE
2022-02-24,EE
2022-04-15,EE
2022-04-17,EE
2022-05-01,EE
2022-06-05,EE
2022-06-23,EE
2022-06-24,EE
2022-08-20,EE
2022-12-24,EE
2022-12-25,EE
2022-12-26,EE
2020-01-01,FI
2020-01-06,FI
2020-04-10,FI
2020-04-12,FI
2020-04-13,FI
2020-05-01,FI
2020-05-21,FI
2020-05-31,FI
2020-06-19,FI
2020-06-20,FI
2020-10-31,FI
2020-12-06,FI
2020-12-24,FI
2020-12-25,FI
2020-12-26,FI
2021-01-01,FI
2021-01-06,FI
2021-04-02,FI
2021-04-04,FI
2021-04-05,FI
2021-05-01,FI
2021-05-13,FI
2021-05-23,FI
2021-06-25,FI
2021-06-26,FI
2021-11-06,FI
2021-12-06,FI
2021-12-24,FI
2021-12-25,FI
2021-12-26,FI
2022-01-01,FI
2022-01-06,FI
2022-04-15,FI
2022-04-17,FI
2022-04-18,FI
2022-05-01,FI
2022-05-26,FI
2022-06-05,FI
2022-06-24,FI
2022-06-25,FI
2022-11-05,FI
2022-12-06,FI
2022-12-24,FI
2022-12-25,FI
2022-12-26,FI
2020-01-01,FR
2020-04-10,FR
2020-04-13,FR
2020-05-01,FR
2020-05-08,FR
2020-05-21,FR
2020-05-22,FR
2020-05-27,FR
2020-06-01,FR
2020-07-14,FR
2020-08-15,FR
2020-11-01,FR
2020-11-11,FR
2020-12-25,FR
2020-12-26,FR
2021-01-01,FR
2021-04-02,FR
2021-04-05,FR
2021-05-01,FR
