dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,464,12,Algeria,DZ,DZA,43053054.0,Africa,22.95075281
13/12/2020,517,9,Algeria,DZ,DZA,43053054.0,Africa,24.21663281
12/12/2020,542,11,Algeria,DZ,DZA,43053054.0,Africa,25.44070393
11/12/2020,565,10,Algeria,DZ,DZA,43053054.0,Africa,26.63922518
10/12/2020,598,15,Algeria,DZ,DZA,43053054.0,Africa,27.84703729
09/12/2020,591,12,Algeria,DZ,DZA,43053054.0,Africa,28.83883685
08/12/2020,573,11,Algeria,DZ,DZA,43053054.0,Africa,30.0977487
07/12/2020,750,15,Algeria,DZ,DZA,43053054.0,Africa,31.10116184
06/12/2020,772,9,Algeria,DZ,DZA,43053054.0,Africa,31.88623971
05/12/2020,803,12,Algeria,DZ,DZA,43053054.0,Africa,32.45995046
04/12/2020,843,16,Algeria,DZ,DZA,43053054.0,Africa,33.15676514
03/12/2020,932,17,Algeria,DZ,DZA,43053054.0,Africa,33.57485395
02/12/2020,963,16,Algeria,DZ,DZA,43053054.0,Africa,33.821061799999995
01/12/2020,968,21,Algeria,DZ,DZA,43053054.0,Africa,33.91164771
30/11/2020,1009,17,Algeria,DZ,DZA,43053054.0,Africa,33.7769302
29/11/2020,1044,21,Algeria,DZ,DZA,43053054.0,Africa,33.43084558
28/11/2020,1058,20,Algeria,DZ,DZA,43053054.0,Africa,32.96630246
27/11/2020,1085,23,Algeria,DZ,DZA,43053054.0,Africa,32.52266378
26/11/2020,1025,20,Algeria,DZ,DZA,43053054.0,Africa,31.97914833
25/11/2020,1133,15,Algeria,DZ,DZA,43053054.0,Africa,31.48208719
24/11/2020,1005,19,Algeria,DZ,DZA,43053054.0,Africa,30.59945527
23/11/2020,1088,35,Algeria,DZ,DZA,43053054.0,Africa,29.75630951
22/11/2020,1019,1,Algeria,DZ,DZA,43053054.0,Africa,28.78541439
21/11/2020,1103,15,Algeria,DZ,DZA,43053054.0,Africa,27.76806496
20/11/2020,1023,18,Algeria,DZ,DZA,43053054.0,Africa,26.67174319
19/11/2020,1038,20,Algeria,DZ,DZA,43053054.0,Africa,25.78678855
18/11/2020,1002,18,Algeria,DZ,DZA,43053054.0,Africa,24.64865791
17/11/2020,910,14,Algeria,DZ,DZA,43053054.0,Africa,23.2619967
16/11/2020,860,15,Algeria,DZ,DZA,43053054.0,Africa,21.84978562
15/11/2020,844,14,Algeria,DZ,DZA,43053054.0,Africa,20.61874635
14/11/2020,867,14,Algeria,DZ,DZA,43053054.0,Africa,19.33428462
13/11/2020,851,18,Algeria,DZ,DZA,43053054.0,Africa,18.06143648
12/11/2020,811,16,Algeria,DZ,DZA,43053054.0,Africa,16.79555648
11/11/2020,753,15,Algeria,DZ,DZA,43053054.0,Africa,15.65510312
10/11/2020,642,14,Algeria,DZ,DZA,43053054.0,Africa,14.57271765
09/11/2020,670,12,Algeria,DZ,DZA,43053054.0,Africa,13.72260374
08/11/2020,581,12,Algeria,DZ,DZA,43053054.0,Africa,12.7772585
07/11/2020,631,13,Algeria,DZ,DZA,43053054.0,Africa,12.00843963
06/11/2020,642,12,Algeria,DZ,DZA,43053054.0,Africa,11.17690745
05/11/2020,548,10,Algeria,DZ,DZA,43053054.0,Africa,10.30356639
04/11/2020,405,9,Algeria,DZ,DZA,43053054.0,Africa,9.61604257
03/11/2020,302,7,Algeria,DZ,DZA,43053054.0,Africa,9.19330833
02/11/2020,330,9,Algeria,DZ,DZA,43053054.0,Africa,8.98890936
01/11/2020,291,8,Algeria,DZ,DZA,43053054.0,Africa,8.68463362
31/10/2020,319,7,Algeria,DZ,DZA,43053054.0,Africa,8.50810723
30/10/2020,306,8,Algeria,DZ,DZA,43053054.0,Africa,8.25725395
29/10/2020,320,10,Algeria,DZ,DZA,43053054.0,Africa,7.99478708
28/10/2020,287,9,Algeria,DZ,DZA,43053054.0,Africa,7.68122048
27/10/2020,276,8,Algeria,DZ,DZA,43053054.0,Africa,7.41875362
26/10/2020,263,7,Algeria,DZ,DZA,43053054.0,Africa,7.133059599999998
25/10/2020,250,10,Algeria,DZ,DZA,43053054.0,Africa,6.82878385
24/10/2020,273,9,Algeria,DZ,DZA,43053054.0,Africa,6.56399428
23/10/2020,266,8,Algeria,DZ,DZA,43053054.0,Africa,6.26900939
22/10/2020,252,15,Algeria,DZ,DZA,43053054.0,Africa,5.9717018
21/10/2020,223,0,Algeria,DZ,DZA,43053054.0,Africa,5.66742606
20/10/2020,214,9,Algeria,DZ,DZA,43053054.0,Africa,5.44909079
19/10/2020,199,10,Algeria,DZ,DZA,43053054.0,Africa,5.26327354
18/10/2020,215,5,Algeria,DZ,DZA,43053054.0,Africa,5.12855604
17/10/2020,211,5,Algeria,DZ,DZA,43053054.0,Africa,4.97293409
16/10/2020,193,9,Algeria,DZ,DZA,43053054.0,Africa,4.84750745
15/10/2020,185,9,Algeria,DZ,DZA,43053054.0,Africa,4.77085784
14/10/2020,174,9,Algeria,DZ,DZA,43053054.0,Africa,4.71743538
13/10/2020,153,8,Algeria,DZ,DZA,43053054.0,Africa,4.67330378
12/10/2020,132,6,Algeria,DZ,DZA,43053054.0,Africa,4.65704477
