dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,high_risk_2k
14/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,40.34427111,False
13/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,40.34427111,False
12/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,40.34427111,False
11/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,40.34427111,False
10/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,40.34427111,False
09/12/2020,1,0,Anguilla,AI,AIA,14872.0,America,40.34427111,False
08/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,33.62022593,False
07/12/2020,2,0,Anguilla,AI,AIA,14872.0,America,33.62022593,False
06/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,26.89618074,False
05/12/2020,1,0,Anguilla,AI,AIA,14872.0,America,26.89618074,False
04/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,20.17213556,False
03/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,20.17213556,False
02/12/2020,0,0,Anguilla,AI,AIA,14872.0,America,20.17213556,False
01/12/2020,2,0,Anguilla,AI,AIA,14872.0,America,20.17213556,False
30/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
29/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
28/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
27/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
26/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
25/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
24/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
23/11/2020,1,0,Anguilla,AI,AIA,14872.0,America,6.72404519,False
22/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
21/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
20/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
19/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
18/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
17/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
16/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
15/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
14/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
13/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
12/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
11/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
10/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
09/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
08/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
07/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
06/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
05/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
04/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
03/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
02/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
01/11/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
31/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
30/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
29/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
28/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
27/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
26/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
25/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
24/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
23/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
22/10/2020,0,0,Anguilla,AI,AIA,14872.0,America,0.0,False
