dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,high_risk_2k
14/12/2020,746,6,Afghanistan,AF,AFG,38041757.0,Asia,9.01377925,False
13/12/2020,298,9,Afghanistan,AF,AFG,38041757.0,Asia,7.05277624,False
12/12/2020,113,11,Afghanistan,AF,AFG,38041757.0,Asia,6.86876792,False
11/12/2020,63,10,Afghanistan,AF,AFG,38041757.0,Asia,7.13426564,False
10/12/2020,202,16,Afghanistan,AF,AFG,38041757.0,Asia,6.96865815,False
09/12/2020,135,13,Afghanistan,AF,AFG,38041757.0,Asia,6.96340077,False
08/12/2020,200,6,Afghanistan,AF,AFG,38041757.0,Asia,7.09483529,False
07/12/2020,210,26,Afghanistan,AF,AFG,38041757.0,Asia,7.21575505,False
06/12/2020,234,10,Afghanistan,AF,AFG,38041757.0,Asia,7.32616004,False
05/12/2020,235,18,Afghanistan,AF,AFG,38041757.0,Asia,7.11586481,False
04/12/2020,119,5,Afghanistan,AF,AFG,38041757.0,Asia,7.10797874,False
03/12/2020,202,19,Afghanistan,AF,AFG,38041757.0,Asia,7.53645527,False
02/12/2020,400,48,Afghanistan,AF,AFG,38041757.0,Asia,7.00545982,False
01/12/2020,272,11,Afghanistan,AF,AFG,38041757.0,Asia,6.96077208,False
30/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,6.41663317,True
29/11/2020,228,11,Afghanistan,AF,AFG,38041757.0,Asia,6.845109700000001,True
28/11/2020,214,15,Afghanistan,AF,AFG,38041757.0,Asia,6.78464983,True
27/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,6.39560365,True
26/11/2020,200,12,Afghanistan,AF,AFG,38041757.0,Asia,7.34193218,True
25/11/2020,185,13,Afghanistan,AF,AFG,38041757.0,Asia,7.1999829,True
24/11/2020,246,17,Afghanistan,AF,AFG,38041757.0,Asia,6.71367519,True
23/11/2020,252,8,Afghanistan,AF,AFG,38041757.0,Asia,6.655844,True
22/11/2020,154,12,Afghanistan,AF,AFG,38041757.0,Asia,6.20370926,True
21/11/2020,232,25,Afghanistan,AF,AFG,38041757.0,Asia,6.13010593,True
20/11/2020,282,5,Afghanistan,AF,AFG,38041757.0,Asia,5.6727137999999995,True
19/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,5.03657073,True
18/11/2020,383,13,Afghanistan,AF,AFG,38041757.0,Asia,5.35464227,True
17/11/2020,65,6,Afghanistan,AF,AFG,38041757.0,Asia,4.57392123,True
16/11/2020,163,9,Afghanistan,AF,AFG,38041757.0,Asia,4.65278194,True
15/11/2020,205,12,Afghanistan,AF,AFG,38041757.0,Asia,4.57129254,True
14/11/2020,66,10,Afghanistan,AF,AFG,38041757.0,Asia,4.23219148,True
13/11/2020,360,14,Afghanistan,AF,AFG,38041757.0,Asia,4.47140231,True
12/11/2020,146,4,Afghanistan,AF,AFG,38041757.0,Asia,3.84840269,True
11/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.4646138999999994,True
10/11/2020,224,12,Afghanistan,AF,AFG,38041757.0,Asia,3.76165591,True
09/11/2020,80,3,Afghanistan,AF,AFG,38041757.0,Asia,3.69593865,True
08/11/2020,126,6,Afghanistan,AF,AFG,38041757.0,Asia,3.65650829,True
07/11/2020,58,2,Afghanistan,AF,AFG,38041757.0,Asia,3.53821723,True
06/11/2020,40,0,Afghanistan,AF,AFG,38041757.0,Asia,3.5461032999999995,True
05/11/2020,121,6,Afghanistan,AF,AFG,38041757.0,Asia,3.74588377,True
04/11/2020,86,4,Afghanistan,AF,AFG,38041757.0,Asia,3.78268543,True
03/11/2020,95,3,Afghanistan,AF,AFG,38041757.0,Asia,3.78794281,False
02/11/2020,132,5,Afghanistan,AF,AFG,38041757.0,Asia,3.76691329,False
01/11/2020,76,0,Afghanistan,AF,AFG,38041757.0,Asia,3.57501889,False
31/10/2020,157,4,Afghanistan,AF,AFG,38041757.0,Asia,3.55398937,False
30/10/2020,123,3,Afghanistan,AF,AFG,38041757.0,Asia,3.26483343,False
29/10/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.94150452,False
28/10/2020,113,7,Afghanistan,AF,AFG,38041757.0,Asia,3.02562261,False
27/10/2020,199,8,Afghanistan,AF,AFG,38041757.0,Asia,2.90207416,False
26/10/2020,65,3,Afghanistan,AF,AFG,38041757.0,Asia,2.71806583,False
25/10/2020,81,4,Afghanistan,AF,AFG,38041757.0,Asia,2.79955524,False
24/10/2020,61,2,Afghanistan,AF,AFG,38041757.0,Asia,2.58663132,False
23/10/2020,116,4,Afghanistan,AF,AFG,38041757.0,Asia,2.45256811,False
22/10/2020,135,2,Afghanistan,AF,AFG,38041757.0,Asia,2.35004918,False
21/10/2020,88,2,Afghanistan,AF,AFG,38041757.0,Asia,2.17392693,False
20/10/2020,87,5,Afghanistan,AF,AFG,38041757.0,Asia,2.10558098,False
19/10/2020,59,4,Afghanistan,AF,AFG,38041757.0,Asia,2.25804502,False
18/10/2020,68,3,Afghanistan,AF,AFG,38041757.0,Asia,2.21861467,False
17/10/2020,47,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05826455,False
16/10/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94785956,False
15/10/2020,32,1,Afghanistan,AF,AFG,38041757.0,Asia,1.99254729,False
14/10/2020,66,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94523087,False
13/10/2020,129,3,Afghanistan,AF,AFG,38041757.0,Asia,1.81116766,False
12/10/2020,96,4,Afghanistan,AF,AFG,38041757.0,Asia,1.50361089,False
11/10/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.25125661,False
10/10/2020,10,1,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078,False
09/10/2020,77,2,Afghanistan,AF,AFG,38041757.0,Asia,1.33274601,False
08/10/2020,68,1,Afghanistan,AF,AFG,38041757.0,Asia,1.1723959,False
07/10/2020,62,2,Afghanistan,AF,AFG,38041757.0,Asia,1.05936222,False
06/10/2020,145,5,Afghanistan,AF,AFG,38041757.0,Asia,1.08302043,False
05/10/2020,44,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104,False
04/10/2020,7,4,Afghanistan,AF,AFG,38041757.0,Asia,0.66505866,False
03/10/2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.97524412,False
02/10/2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.08564912,False
01/10/2020,14,0,Afghanistan,AF,AFG,38041757.0,Asia,1.04096138,False
30/09/2020,15,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745,False
29/09/2020,12,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471,False
28/09/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078,False
27/09/2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255,False
26/09/2020,6,2,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255,False
25/09/2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.61401588,False
24/09/2020,25,5,Afghanistan,AF,AFG,38041757.0,Asia,1.64556017,False
23/09/2020,71,2,Afghanistan,AF,AFG,38041757.0,Asia,1.64293148,False
22/09/2020,30,3,Afghanistan,AF,AFG,38041757.0,Asia,1.52464041,False
21/09/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.69813397,False
20/09/2020,125,4,Afghanistan,AF,AFG,38041757.0,Asia,1.89265706,False
19/09/2020,47,1,Afghanistan,AF,AFG,38041757.0,Asia,1.61664457,False
18/09/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.53515517,False
17/09/2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.65344624,False
16/09/2020,40,10,Afghanistan,AF,AFG,38041757.0,Asia,1.70864874,False
15/09/2020,99,6,Afghanistan,AF,AFG,38041757.0,Asia,1.62715933,False
14/09/2020,75,0,Afghanistan,AF,AFG,38041757.0,Asia,1.45629446,False
13/09/2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.3090878000000001,False
12/09/2020,34,0,Afghanistan,AF,AFG,38041757.0,Asia,1.22496971,False
11/09/2020,28,0,Afghanistan,AF,AFG,38041757.0,Asia,1.16450983,False
10/09/2020,24,2,Afghanistan,AF,AFG,38041757.0,Asia,1.09879257,False
09/09/2020,26,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197,False
08/09/2020,96,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471,False
07/09/2020,74,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745,False
06/09/2020,20,0,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437,False
05/09/2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.07776305,False
04/09/2020,45,1,Afghanistan,AF,AFG,38041757.0,Asia,1.13559424,False
03/09/2020,38,3,Afghanistan,AF,AFG,38041757.0,Asia,1.27228614,False
02/09/2020,9,0,Afghanistan,AF,AFG,38041757.0,Asia,1.59298636,False
01/09/2020,34,4,Afghanistan,AF,AFG,38041757.0,Asia,1.56932815,False
31/08/2020,19,0,Afghanistan,AF,AFG,38041757.0,Asia,1.48783875,False
30/08/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469,False
29/08/2020,11,1,Afghanistan,AF,AFG,38041757.0,Asia,1.86374147,False
28/08/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,1.85322671,False
27/08/2020,55,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05300717,False
26/08/2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,2.10820967,False
25/08/2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia,2.67074941,False
24/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239,False
23/08/2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239,False
22/08/2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,2.31061883,False
21/08/2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia,2.41576644,False
20/08/2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978,False
19/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158,False
18/08/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419,False
17/08/2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966,False
16/08/2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859,False
15/08/2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575,False
14/08/2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185048999999998,False
13/08/2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538,False
12/08/2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491,False
11/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159,False
10/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408,False
09/08/2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526,False
08/08/2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786,False
07/08/2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858,False
06/08/2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525,False
05/08/2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678,False
04/08/2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749,False
03/08/2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326,False
02/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472,False
01/08/2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901,False
31/07/2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221,False
30/07/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567,False
29/07/2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302,False
28/07/2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466,False
27/07/2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694,False
26/07/2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576,False
25/07/2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291,False
24/07/2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453,False
23/07/2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976,False
22/07/2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654,False
21/07/2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082,False
20/07/2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448,False
19/07/2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696,False
