dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,high_risk_2k
14/12/2020,788,14,Albania,AL,ALB,2862427.0,Europe,380.97041427,False
13/12/2020,879,12,Albania,AL,ALB,2862427.0,Europe,382.61237754,False
12/12/2020,802,12,Albania,AL,ALB,2862427.0,Europe,370.9439577,False
11/12/2020,873,14,Albania,AL,ALB,2862427.0,Europe,365.45910166,False
10/12/2020,752,15,Albania,AL,ALB,2862427.0,Europe,357.87812231,False
09/12/2020,753,14,Albania,AL,ALB,2862427.0,Europe,354.10510032,False
08/12/2020,695,17,Albania,AL,ALB,2862427.0,Europe,353.79068182,False
07/12/2020,840,16,Albania,AL,ALB,2862427.0,Europe,357.2842207,False
06/12/2020,846,19,Albania,AL,ALB,2862427.0,Europe,347.67698879,False
05/12/2020,801,18,Albania,AL,ALB,2862427.0,Europe,343.86903142,False
04/12/2020,782,13,Albania,AL,ALB,2862427.0,Europe,345.09177003,False
03/12/2020,705,17,Albania,AL,ALB,2862427.0,Europe,345.23151158,False
02/12/2020,832,12,Albania,AL,ALB,2862427.0,Europe,345.44112391,False
01/12/2020,557,12,Albania,AL,ALB,2862427.0,Europe,340.62004027,False
30/11/2020,835,11,Albania,AL,ALB,2862427.0,Europe,342.19213276,True
29/11/2020,545,16,Albania,AL,ALB,2862427.0,Europe,333.87751024,True
28/11/2020,645,18,Albania,AL,ALB,2862427.0,Europe,333.42335019,True
27/11/2020,656,10,Albania,AL,ALB,2862427.0,Europe,328.00836493,True
26/11/2020,644,8,Albania,AL,ALB,2862427.0,Europe,319.4142593,True
25/11/2020,744,19,Albania,AL,ALB,2862427.0,Europe,314.62811104,True
24/11/2020,795,17,Albania,AL,ALB,2862427.0,Europe,308.30480568,True
23/11/2020,565,14,Albania,AL,ALB,2862427.0,Europe,298.87225072,True
22/11/2020,737,13,Albania,AL,ALB,2862427.0,Europe,296.63638584,True
21/11/2020,836,15,Albania,AL,ALB,2862427.0,Europe,288.18202176,True
20/11/2020,786,11,Albania,AL,ALB,2862427.0,Europe,276.05944187,True
19/11/2020,711,9,Albania,AL,ALB,2862427.0,Europe,263.30802497,True
18/11/2020,694,6,Albania,AL,ALB,2862427.0,Europe,252.30337752,True
17/11/2020,602,8,Albania,AL,ALB,2862427.0,Europe,241.36860084,True
16/11/2020,597,11,Albania,AL,ALB,2862427.0,Europe,231.5517566,True
15/11/2020,532,7,Albania,AL,ALB,2862427.0,Europe,222.11920164,True
14/11/2020,490,7,Albania,AL,ALB,2862427.0,Europe,211.95300352,True
13/11/2020,410,8,Albania,AL,ALB,2862427.0,Europe,205.97905204,True
12/11/2020,507,11,Albania,AL,ALB,2862427.0,Europe,201.26277456,True
11/11/2020,563,8,Albania,AL,ALB,2862427.0,Europe,194.41543837,True
10/11/2020,525,12,Albania,AL,ALB,2862427.0,Europe,184.66846491,True
09/11/2020,501,2,Albania,AL,ALB,2862427.0,Europe,176.38877777,True
08/11/2020,495,8,Albania,AL,ALB,2862427.0,Europe,169.33182925,True
07/11/2020,489,6,Albania,AL,ALB,2862427.0,Europe,162.58929922,True
06/11/2020,421,7,Albania,AL,ALB,2862427.0,Europe,156.19612308,True
05/11/2020,396,4,Albania,AL,ALB,2862427.0,Europe,152.03881182,True
04/11/2020,381,5,Albania,AL,ALB,2862427.0,Europe,148.58020833,True
03/11/2020,321,9,Albania,AL,ALB,2862427.0,Europe,145.78537723,True
02/11/2020,327,9,Albania,AL,ALB,2862427.0,Europe,144.87705713,True
01/11/2020,241,7,Albania,AL,ALB,2862427.0,Europe,143.27002924,True
31/10/2020,319,3,Albania,AL,ALB,2862427.0,Europe,144.38796168,True
30/10/2020,275,6,Albania,AL,ALB,2862427.0,Europe,143.33990002,True
29/10/2020,311,6,Albania,AL,ALB,2862427.0,Europe,142.71106302,True
28/10/2020,284,7,Albania,AL,ALB,2862427.0,Europe,138.93804104,True
27/10/2020,288,3,Albania,AL,ALB,2862427.0,Europe,135.37463139,True
26/10/2020,299,4,Albania,AL,ALB,2862427.0,Europe,131.28719089999998,True
25/10/2020,302,4,Albania,AL,ALB,2862427.0,Europe,126.71065498,True
24/10/2020,306,4,Albania,AL,ALB,2862427.0,Europe,121.92450672,True
23/10/2020,302,3,Albania,AL,ALB,2862427.0,Europe,117.06848769,True
22/10/2020,297,4,Albania,AL,ALB,2862427.0,Europe,112.42208098,True
21/10/2020,301,4,Albania,AL,ALB,2862427.0,Europe,107.70580349999999,True
20/10/2020,295,3,Albania,AL,ALB,2862427.0,Europe,102.71004291,True
19/10/2020,281,3,Albania,AL,ALB,2862427.0,Europe,97.43479921,True
18/10/2020,273,5,Albania,AL,ALB,2862427.0,Europe,92.82332790000001,True
17/10/2020,289,4,Albania,AL,ALB,2862427.0,Europe,88.59614586,True
16/10/2020,257,5,Albania,AL,ALB,2862427.0,Europe,84.05454532,True
15/10/2020,203,5,Albania,AL,ALB,2862427.0,Europe,80.56100645,True
14/10/2020,182,5,Albania,AL,ALB,2862427.0,Europe,78.04565846,True
13/10/2020,171,4,Albania,AL,ALB,2862427.0,Europe,76.12421208,True
12/10/2020,168,4,Albania,AL,ALB,2862427.0,Europe,74.76173191,True
11/10/2020,165,3,Albania,AL,ALB,2862427.0,Europe,72.59573781,True
10/10/2020,167,2,Albania,AL,ALB,2862427.0,Europe,70.60442065,True
09/10/2020,169,4,Albania,AL,ALB,2862427.0,Europe,69.10219894,True
08/10/2020,162,4,Albania,AL,ALB,2862427.0,Europe,67.87946033,True
07/10/2020,158,3,Albania,AL,ALB,2862427.0,Europe,66.44710939,True
06/10/2020,144,4,Albania,AL,ALB,2862427.0,Europe,65.5038539,True
05/10/2020,149,4,Albania,AL,ALB,2862427.0,Europe,65.71346623,True
04/10/2020,152,3,Albania,AL,ALB,2862427.0,Europe,66.06282012,True
03/10/2020,159,1,Albania,AL,ALB,2862427.0,Europe,66.09775551,True
02/10/2020,157,1,Albania,AL,ALB,2862427.0,Europe,64.90995229,True
