dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,day,month,year,ratio,cases_per_100k,high_risk_2k,nr_months,current_date,Day,Month,Year,Season
14/12/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.54754952,14,12,2020,0.0,0.023806500761808024,False,39,01/03/2024,14,12,2020,Autumn
13/12/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.55548502,13,12,2020,0.0,0.05158075165058405,False,39,01/03/2024,13,12,2020,Autumn
12/12/2020,12,0,Australia,AU,AUS,25203200.0,Oceania,0.54754952,12,12,2020,0.0,0.04761300152361605,False,39,01/03/2024,12,12,2020,Autumn
11/12/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.52771077,11,12,2020,0.0,0.027774250888776032,False,39,01/03/2024,11,12,2020,Autumn
10/12/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.55151727,10,12,2020,0.0,0.023806500761808024,False,39,01/03/2024,10,12,2020,Autumn
09/12/2020,15,0,Australia,AU,AUS,25203200.0,Oceania,0.55151727,9,12,2020,0.0,0.05951625190452005,False,39,01/03/2024,9,12,2020,Autumn
08/12/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.54358177,8,12,2020,0.0,0.027774250888776032,False,39,01/03/2024,8,12,2020,Autumn
07/12/2020,9,0,Australia,AU,AUS,25203200.0,Oceania,0.57135602,7,12,2020,0.0,0.035709751142712035,False,39,01/03/2024,7,12,2020,Autumn
06/12/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.59119477,6,12,2020,0.0,0.027774250888776032,False,39,01/03/2024,6,12,2020,Autumn
05/12/2020,10,0,Australia,AU,AUS,25203200.0,Oceania,0.63484002,5,12,2020,0.0,0.03967750126968004,False,39,01/03/2024,5,12,2020,Autumn
04/12/2020,16,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,4,12,2020,0.0,0.06348400203148806,False,39,01/03/2024,4,12,2020,Autumn
03/12/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.57929152,3,12,2020,0.0,0.04364525139664805,False,39,01/03/2024,3,12,2020,Autumn
02/12/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.61896902,2,12,2020,0.0,0.03174200101574403,False,39,01/03/2024,2,12,2020,Autumn
01/12/2020,11,1,Australia,AU,AUS,25203200.0,Oceania,0.61103352,1,12,2020,0.09090909090909093,0.04364525139664805,False,39,01/03/2024,1,12,2020,Autumn
30/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.66658202,30,11,2020,0.0,0.03174200101574403,False,40,01/03/2024,30,11,2020,Autumn
29/11/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.69038852,29,11,2020,0.0,0.04364525139664805,False,40,01/03/2024,29,11,2020,Autumn
28/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.67848527,28,11,2020,0.0,0.027774250888776032,False,40,01/03/2024,28,11,2020,Autumn
27/11/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.67054977,27,11,2020,0.0,0.05158075165058405,False,40,01/03/2024,27,11,2020,Autumn
26/11/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.66658202,26,11,2020,0.0,0.023806500761808024,False,40,01/03/2024,26,11,2020,Autumn
25/11/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.67451752,25,11,2020,0.0,0.05158075165058405,False,40,01/03/2024,25,11,2020,Autumn
24/11/2020,14,0,Australia,AU,AUS,25203200.0,Oceania,0.66261427,24,11,2020,0.0,0.05554850177755208,False,40,01/03/2024,24,11,2020,Autumn
23/11/2020,14,0,Australia,AU,AUS,25203200.0,Oceania,0.64674327,23,11,2020,0.0,0.05554850177755208,False,40,01/03/2024,23,11,2020,Autumn
22/11/2020,18,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,22,11,2020,0.0,0.07141950228542407,False,40,01/03/2024,22,11,2020,Autumn
21/11/2020,5,0,Australia,AU,AUS,25203200.0,Oceania,0.57135602,21,11,2020,0.0,0.01983875063484002,False,40,01/03/2024,21,11,2020,Autumn
20/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.59913027,20,11,2020,0.0,0.027774250888776032,False,40,01/03/2024,20,11,2020,Autumn
19/11/2020,21,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,19,11,2020,0.0,0.08332275266632808,False,40,01/03/2024,19,11,2020,Autumn
18/11/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.57929152,18,11,2020,0.0,0.023806500761808024,False,40,01/03/2024,18,11,2020,Autumn
