,dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,day,month,year,ratio,cases_per_100k,high_risk_2k
0,14/12/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.54754952,14,12,2020,0.0,0.023806500761808024,False
1,13/12/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.55548502,13,12,2020,0.0,0.05158075165058405,False
2,12/12/2020,12,0,Australia,AU,AUS,25203200.0,Oceania,0.54754952,12,12,2020,0.0,0.04761300152361605,False
3,11/12/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.52771077,11,12,2020,0.0,0.027774250888776032,False
4,10/12/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.55151727,10,12,2020,0.0,0.023806500761808024,False
5,09/12/2020,15,0,Australia,AU,AUS,25203200.0,Oceania,0.55151727,9,12,2020,0.0,0.05951625190452005,False
6,08/12/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.54358177,8,12,2020,0.0,0.027774250888776032,False
7,07/12/2020,9,0,Australia,AU,AUS,25203200.0,Oceania,0.57135602,7,12,2020,0.0,0.035709751142712035,False
8,06/12/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.59119477,6,12,2020,0.0,0.027774250888776032,False
9,05/12/2020,10,0,Australia,AU,AUS,25203200.0,Oceania,0.63484002,5,12,2020,0.0,0.03967750126968004,False
10,04/12/2020,16,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,4,12,2020,0.0,0.06348400203148806,False
11,03/12/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.57929152,3,12,2020,0.0,0.04364525139664805,False
12,02/12/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.61896902,2,12,2020,0.0,0.03174200101574403,False
13,01/12/2020,11,1,Australia,AU,AUS,25203200.0,Oceania,0.61103352,1,12,2020,0.09090909090909093,0.04364525139664805,False
14,30/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.66658202,30,11,2020,0.0,0.03174200101574403,False
15,29/11/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.69038852,29,11,2020,0.0,0.04364525139664805,False
16,28/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.67848527,28,11,2020,0.0,0.027774250888776032,False
17,27/11/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.67054977,27,11,2020,0.0,0.05158075165058405,False
18,26/11/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.66658202,26,11,2020,0.0,0.023806500761808024,False
19,25/11/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.67451752,25,11,2020,0.0,0.05158075165058405,False
20,24/11/2020,14,0,Australia,AU,AUS,25203200.0,Oceania,0.66261427,24,11,2020,0.0,0.05554850177755208,False
21,23/11/2020,14,0,Australia,AU,AUS,25203200.0,Oceania,0.64674327,23,11,2020,0.0,0.05554850177755208,False
22,22/11/2020,18,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,22,11,2020,0.0,0.07141950228542407,False
23,21/11/2020,5,0,Australia,AU,AUS,25203200.0,Oceania,0.57135602,21,11,2020,0.0,0.01983875063484002,False
24,20/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.59913027,20,11,2020,0.0,0.027774250888776032,False
25,19/11/2020,21,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,19,11,2020,0.0,0.08332275266632808,False
26,18/11/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.57929152,18,11,2020,0.0,0.023806500761808024,False
27,17/11/2020,25,0,Australia,AU,AUS,25203200.0,Oceania,0.58722702,17,11,2020,0.0,0.0991937531742001,False
28,16/11/2020,14,0,Australia,AU,AUS,25203200.0,Oceania,0.51580752,16,11,2020,0.0,0.05554850177755208,False
29,15/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.48009777,15,11,2020,0.0,0.03174200101574403,False
30,14/11/2020,5,0,Australia,AU,AUS,25203200.0,Oceania,0.48009777,14,11,2020,0.0,0.01983875063484002,False
31,13/11/2020,12,0,Australia,AU,AUS,25203200.0,Oceania,0.51183977,13,11,2020,0.0,0.04761300152361605,False
32,12/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.52374302,12,11,2020,0.0,0.03174200101574403,False
33,11/11/2020,10,0,Australia,AU,AUS,25203200.0,Oceania,0.54358177,11,11,2020,0.0,0.03967750126968004,False
34,10/11/2020,10,0,Australia,AU,AUS,25203200.0,Oceania,0.55945277,10,11,2020,0.0,0.03967750126968004,False
35,09/11/2020,6,0,Australia,AU,AUS,25203200.0,Oceania,0.54754952,9,11,2020,0.0,0.023806500761808024,False
36,08/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.60706577,8,11,2020,0.0,0.027774250888776032,False
37,07/11/2020,12,0,Australia,AU,AUS,25203200.0,Oceania,0.63880777,7,11,2020,0.0,0.04761300152361605,False
38,06/11/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.66261427,6,11,2020,0.0,0.04364525139664805,False
39,05/11/2020,12,0,Australia,AU,AUS,25203200.0,Oceania,0.70625952,5,11,2020,0.0,0.04761300152361605,False
40,04/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.71419502,4,11,2020,0.0,0.03174200101574403,False
41,03/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.80545328,3,11,2020,0.0,0.027774250888776032,False
42,02/11/2020,5,0,Australia,AU,AUS,25203200.0,Oceania,0.81338878,2,11,2020,0.0,0.01983875063484002,False
43,01/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.82132428,1,11,2020,0.0,0.03174200101574403,False
44,31/10/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.83719528,31,10,2020,0.0,0.05158075165058405,False
45,30/10/2020,15,0,Australia,AU,AUS,25203200.0,Oceania,0.82132428,30,10,2020,0.0,0.05951625190452005,False
