Unnamed: 0,dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,day,month,year,ratio,cases_per_100k,high_risk_2k
115,21/08/2020,243,13,Australia,AU,AUS,25203200.0,Oceania,17.35493906,21,8,2020,0.05349794238683128,0.9641632808532252,True
116,20/08/2020,220,12,Australia,AU,AUS,25203200.0,Oceania,18.04929533,20,8,2020,0.054545454545454536,0.8729050279329609,True
117,19/08/2020,174,17,Australia,AU,AUS,25203200.0,Oceania,20.01333164,19,8,2020,0.09770114942528736,0.6903885220924326,True
118,18/08/2020,311,25,Australia,AU,AUS,25203200.0,Oceania,20.95368842,18,8,2020,0.08038585209003216,1.2339702894870492,True
119,17/08/2020,253,17,Australia,AU,AUS,25203200.0,Oceania,21.28697943,17,8,2020,0.06719367588932806,1.003840782122905,True
120,16/08/2020,292,4,Australia,AU,AUS,25203200.0,Oceania,22.82646648,16,8,2020,0.0136986301369863,1.1585830370746573,True
121,15/08/2020,385,14,Australia,AU,AUS,25203200.0,Oceania,23.16372524,15,8,2020,0.03636363636363636,1.5275837988826817,True
122,14/08/2020,231,9,Australia,AU,AUS,25203200.0,Oceania,24.02472702,14,8,2020,0.03896103896103896,0.9165502793296088,True
123,13/08/2020,414,21,Australia,AU,AUS,25203200.0,Oceania,25.96892458,13,8,2020,0.050724637681159424,1.6426485525647538,True
124,12/08/2020,316,18,Australia,AU,AUS,25203200.0,Oceania,25.42931056,12,8,2020,0.0569620253164557,1.253809040121889,True
125,11/08/2020,313,18,Australia,AU,AUS,25203200.0,Oceania,25.63960132,11,8,2020,0.057507987220447275,1.2419057897409853,True
126,10/08/2020,386,17,Australia,AU,AUS,25203200.0,Oceania,26.5085386,10,8,2020,0.04404145077720207,1.5315515490096496,True
127,09/08/2020,426,12,Australia,AU,AUS,25203200.0,Oceania,26.77437786,9,8,2020,0.028169014084507043,1.6902615540883696,True
128,08/08/2020,410,11,Australia,AU,AUS,25203200.0,Oceania,26.492667600000004,8,8,2020,0.02682926829268293,1.6267775520568817,True
129,07/08/2020,418,8,Australia,AU,AUS,25203200.0,Oceania,26.01256983,7,8,2020,0.019138755980861243,1.6585195530726258,True
130,06/08/2020,715,15,Australia,AU,AUS,25203200.0,Oceania,25.98082783,6,8,2020,0.02097902097902098,2.836941340782124,True
131,05/08/2020,411,11,Australia,AU,AUS,25203200.0,Oceania,25.00079355,5,8,2020,0.0267639902676399,1.6307453021838496,True
132,04/08/2020,395,13,Australia,AU,AUS,25203200.0,Oceania,24.79447054,4,8,2020,0.032911392405063286,1.5672613001523616,True
133,03/08/2020,641,8,Australia,AU,AUS,25203200.0,Oceania,24.28659853,3,8,2020,0.0124804992199688,2.543327831386491,True
134,02/08/2020,377,4,Australia,AU,AUS,25203200.0,Oceania,23.17562849,2,8,2020,0.010610079575596816,1.4958417978669376,True
135,01/08/2020,602,7,Australia,AU,AUS,25203200.0,Oceania,22.49714322,1,8,2020,0.011627906976744186,2.3885855764347386,True
136,31/07/2020,721,13,Australia,AU,AUS,25203200.0,Oceania,21.79485145,31,7,2020,0.018030513176144243,2.8607478415439314,True
137,30/07/2020,278,9,Australia,AU,AUS,25203200.0,Oceania,20.1839449,30,7,2020,0.03237410071942446,1.1030345352971052,True
138,29/07/2020,369,6,Australia,AU,AUS,25203200.0,Oceania,20.04904139,29,7,2020,0.016260162601626018,1.4640997968511935,True
139,28/07/2020,532,6,Australia,AU,AUS,25203200.0,Oceania,19.66020188,28,7,2020,0.011278195488721804,2.1108430675469783,True
140,27/07/2020,453,10,Australia,AU,AUS,25203200.0,Oceania,18.27545708,27,7,2020,0.022075055187637967,1.7973908075165057,True
141,26/07/2020,355,6,Australia,AU,AUS,25203200.0,Oceania,17.44619731,26,7,2020,0.016901408450704224,1.4085512950736414,True
142,25/07/2020,289,6,Australia,AU,AUS,25203200.0,Oceania,16.80738954,25,7,2020,0.020761245674740483,1.1466797866937533,True
143,24/07/2020,410,5,Australia,AU,AUS,25203200.0,Oceania,16.85103479,24,7,2020,0.012195121951219513,1.6267775520568817,True
144,23/07/2020,468,2,Australia,AU,AUS,25203200.0,Oceania,15.91067801,23,7,2020,0.004273504273504274,1.8569070594210253,True
145,22/07/2020,359,3,Australia,AU,AUS,25203200.0,Oceania,14.57354622,22,7,2020,0.008356545961002786,1.4244222955815131,True
146,21/07/2020,267,1,Australia,AU,AUS,25203200.0,Oceania,13.81967369,21,7,2020,0.003745318352059925,1.059389283900457,True
147,20/07/2020,361,4,Australia,AU,AUS,25203200.0,Oceania,13.30386618,20,7,2020,0.0110803324099723,1.4323577958354494,True
148,19/07/2020,206,2,Australia,AU,AUS,25203200.0,Oceania,12.21670264,19,7,2020,0.009708737864077669,0.8173565261554089,True
149,18/07/2020,425,3,Australia,AU,AUS,25203200.0,Oceania,11.82389538,18,7,2020,0.007058823529411766,1.6862938039614015,True
150,17/07/2020,315,2,Australia,AU,AUS,25203200.0,Oceania,11.14541011,17,7,2020,0.006349206349206349,1.2498412899949214,True
151,16/07/2020,244,3,Australia,AU,AUS,25203200.0,Oceania,10.21695658,16,7,2020,0.012295081967213116,0.968131030980193,True
152,15/07/2020,271,0,Australia,AU,AUS,25203200.0,Oceania,9.59005206,15,7,2020,0.0,1.0752602844083292,True
153,14/07/2020,183,0,Australia,AU,AUS,25203200.0,Oceania,8.78063103,14,7,2020,0.0,0.7260982732351448,True
154,13/07/2020,244,1,Australia,AU,AUS,25203200.0,Oceania,8.37592052,13,7,2020,0.004098360655737704,0.968131030980193,True
155,12/07/2020,194,1,Australia,AU,AUS,25203200.0,Oceania,7.58633824,12,7,2020,0.005154639175257732,0.7697435246317927,True
156,11/07/2020,300,0,Australia,AU,AUS,25203200.0,Oceania,6.99911122,11,7,2020,0.0,1.1903250380904014,True
157,10/07/2020,173,0,Australia,AU,AUS,25203200.0,Oceania,5.95559294,10,7,2020,0.0,0.6864207719654647,True
158,09/07/2020,131,0,Australia,AU,AUS,25203200.0,Oceania,5.41597892,9,7,2020,0.0,0.5197752666328085,True
159,08/07/2020,169,0,Australia,AU,AUS,25203200.0,Oceania,5.01126841,8,7,2020,0.0,0.6705497714575926,True
160,07/07/2020,137,2,Australia,AU,AUS,25203200.0,Oceania,4.41213814,7,7,2020,0.0145985401459854,0.5435817673946165,True
161,06/07/2020,87,0,Australia,AU,AUS,25203200.0,Oceania,3.92013713,6,7,2020,0.0,0.3451942610462163,True
162,05/07/2020,107,0,Australia,AU,AUS,25203200.0,Oceania,3.67413662,5,7,2020,0.0,0.4245492635855764,True
163,04/07/2020,254,0,Australia,AU,AUS,25203200.0,Oceania,3.35671661,4,7,2020,0.0,1.0078085322498729,True
164,03/07/2020,81,0,Australia,AU,AUS,25203200.0,Oceania,2.42032758,3,7,2020,0.0,0.32138776028440835,True
165,02/07/2020,86,0,Australia,AU,AUS,25203200.0,Oceania,2.18226257,2,7,2020,0.0,0.3412265109192483,True
166,01/07/2020,67,0,Australia,AU,AUS,25203200.0,Oceania,1.93229431,1,7,2020,0.0,0.26583925850685625,True
167,30/06/2020,81,0,Australia,AU,AUS,25203200.0,Oceania,1.71406805,30,6,2020,0.0,0.32138776028440835,True
168,29/06/2020,45,0,Australia,AU,AUS,25203200.0,Oceania,1.45219655,29,6,2020,0.0,0.1785487557135602,True
258,31/03/2020,464,3,Australia,AU,AUS,25203200.0,Oceania,16.59313103,31,3,2020,0.00646551724137931,1.841036058913154,True
259,30/03/2020,284,2,Australia,AU,AUS,25203200.0,Oceania,15.05761173,30,3,2020,0.007042253521126761,1.1268410360589132,True
260,29/03/2020,431,1,Australia,AU,AUS,25203200.0,Oceania,14.12519045,29,3,2020,0.002320185614849188,1.7101003047232095,True
261,28/03/2020,212,0,Australia,AU,AUS,25203200.0,Oceania,12.62141315,28,3,2020,0.0,0.8411630269172169,True
262,27/03/2020,367,2,Australia,AU,AUS,25203200.0,Oceania,11.94292788,27,3,2020,0.005449591280653951,1.4561642965972574,True
263,26/03/2020,376,3,Australia,AU,AUS,25203200.0,Oceania,10.60579609,26,3,2020,0.007978723404255319,1.4918740477399697,True
264,25/03/2020,600,1,Australia,AU,AUS,25203200.0,Oceania,9.16947054,25,3,2020,0.0016666666666666668,2.3806500761808027,True
265,24/03/2020,114,0,Australia,AU,AUS,25203200.0,Oceania,6.83643347,24,3,2020,0.0,0.4523235144743524,True
266,23/03/2020,611,0,Australia,AU,AUS,25203200.0,Oceania,6.46346496,23,3,2020,0.0,2.424295327577452,True
267,22/03/2020,224,0,Australia,AU,AUS,25203200.0,Oceania,4.06297613,22,3,2020,0.0,0.8887760284408329,True
268,21/03/2020,165,1,Australia,AU,AUS,25203200.0,Oceania,3.21784535,21,3,2020,0.006060606060606061,0.6546787709497207,True
269,20/03/2020,144,0,Australia,AU,AUS,25203200.0,Oceania,2.57903758,20,3,2020,0.0,0.5713560182833926,True
270,19/03/2020,111,1,Australia,AU,AUS,25203200.0,Oceania,2.03545582,19,3,2020,0.009009009009009007,0.4404202640934484,True
271,18/03/2020,79,0,Australia,AU,AUS,25203200.0,Oceania,1.6386808000000002,18,3,2020,0.0,0.31345226003047233,True
272,17/03/2020,77,0,Australia,AU,AUS,25203200.0,Oceania,1.35697054,17,3,2020,0.0,0.3055167597765363,True
273,16/03/2020,49,2,Australia,AU,AUS,25203200.0,Oceania,1.06732478,16,3,2020,0.040816326530612235,0.1944197562214322,True
274,15/03/2020,52,0,Australia,AU,AUS,25203200.0,Oceania,0.88480828,15,3,2020,0.0,0.2063230066023362,True
275,14/03/2020,41,0,Australia,AU,AUS,25203200.0,Oceania,0.68245302,14,3,2020,0.0,0.16267775520568814,True
276,13/03/2020,30,0,Australia,AU,AUS,25203200.0,Oceania,0.52771077,13,3,2020,0.0,0.11903250380904012,True
277,12/03/2020,14,0,Australia,AU,AUS,25203200.0,Oceania,0.40867826,12,3,2020,0.0,0.05554850177755208,True
278,11/03/2020,12,0,Australia,AU,AUS,25203200.0,Oceania,0.35709751,11,3,2020,0.0,0.04761300152361605,True
637,27/11/2020,266,0,French_Polynesia,PF,PYF,279285.0,Oceania,883.32706733,27,11,2020,0.0,95.24321034069142,True
638,26/11/2020,231,2,French_Polynesia,PF,PYF,279285.0,Oceania,911.61358469,26,11,2020,0.008658008658008658,82.71120898007413,True
639,25/11/2020,308,5,French_Polynesia,PF,PYF,279285.0,Oceania,933.09701559,25,11,2020,0.016233766233766232,110.28161197343216,True
642,22/11/2020,162,1,French_Polynesia,PF,PYF,279285.0,Oceania,1068.08457311,22,11,2020,0.006172839506172839,58.00526344057146,True
643,21/11/2020,229,0,French_Polynesia,PF,PYF,279285.0,Oceania,1096.37109046,21,11,2020,0.0,81.99509461661027,True
645,19/11/2020,466,6,French_Polynesia,PF,PYF,279285.0,Oceania,1302.61202714,19,11,2020,0.012875536480686695,166.8546466870759,True
646,18/11/2020,415,3,French_Polynesia,PF,PYF,279285.0,Oceania,1244.24870652,18,11,2020,0.0072289156626506035,148.5937304187479,True
649,15/11/2020,221,1,French_Polynesia,PF,PYF,279285.0,Oceania,1591.20611562,15,11,2020,0.004524886877828055,79.13063716275491,True
650,14/11/2020,169,0,French_Polynesia,PF,PYF,279285.0,Oceania,1512.07547845,14,11,2020,0.0,60.511663712694904,True
651,13/11/2020,345,0,French_Polynesia,PF,PYF,279285.0,Oceania,1451.56381474,13,11,2020,0.0,123.5297276975133,True
652,12/11/2020,291,3,French_Polynesia,PF,PYF,279285.0,Oceania,1603.3800598,12,11,2020,0.010309278350515464,104.19463988398948,True
653,11/11/2020,685,10,French_Polynesia,PF,PYF,279285.0,Oceania,1499.18541991,11,11,2020,0.0145985401459854,245.26916948636696,True
656,08/11/2020,241,0,French_Polynesia,PF,PYF,279285.0,Oceania,1503.12404891,8,11,2020,0.0,86.29178079739334,True
657,07/11/2020,467,0,French_Polynesia,PF,PYF,279285.0,Oceania,1416.83226811,7,11,2020,0.0,167.21270386880784,True
658,06/11/2020,338,1,French_Polynesia,PF,PYF,279285.0,Oceania,1499.54347709,6,11,2020,0.002958579881656805,121.02332742538981,True
659,05/11/2020,303,0,French_Polynesia,PF,PYF,279285.0,Oceania,1553.61011153,5,11,2020,0.0,108.49132606477257,True
660,04/11/2020,1384,9,French_Polynesia,PF,PYF,279285.0,Oceania,1467.31833074,4,11,2020,0.006502890173410405,495.55113951698087,True
665,30/10/2020,769,3,French_Polynesia,PF,PYF,279285.0,Oceania,1320.87294341,30,10,2020,0.003901170351105332,275.3459727518485,True
667,28/10/2020,634,6,French_Polynesia,PF,PYF,279285.0,Oceania,1183.02092844,28,10,2020,0.00946372239747634,227.0082532180389,True
668,27/10/2020,62,0,French_Polynesia,PF,PYF,279285.0,Oceania,956.01267522,27,10,2020,0.0,22.199545267379197,True
671,24/10/2020,698,1,French_Polynesia,PF,PYF,279285.0,Oceania,1111.76754928,24,10,2020,0.0014326647564469914,249.923912848882,True
672,23/10/2020,489,3,French_Polynesia,PF,PYF,279285.0,Oceania,1005.78262348,23,10,2020,0.006134969325153374,175.08996186691013,True
673,22/10/2020,62,0,French_Polynesia,PF,PYF,279285.0,Oceania,830.69266162,22,10,2020,0.0,22.199545267379197,True
674,21/10/2020,751,2,French_Polynesia,PF,PYF,279285.0,Oceania,830.69266162,21,10,2020,0.0026631158455392807,268.9009434806739,True
677,18/10/2020,62,0,French_Polynesia,PF,PYF,279285.0,Oceania,656.31881411,18,10,2020,0.0,22.199545267379197,True
678,17/10/2020,162,1,French_Polynesia,PF,PYF,279285.0,Oceania,634.11926885,17,10,2020,0.006172839506172839,58.00526344057146,True
679,16/10/2020,62,0,French_Polynesia,PF,PYF,279285.0,Oceania,638.41595503,16,10,2020,0.0,22.199545267379197,True
680,15/10/2020,322,2,French_Polynesia,PF,PYF,279285.0,Oceania,660.6155003,15,10,2020,0.006211180124223602,115.29441251767908,True
682,13/10/2020,497,1,French_Polynesia,PF,PYF,279285.0,Oceania,545.32108778,13,10,2020,0.002012072434607646,177.95441932076554,True
685,10/10/2020,402,1,French_Polynesia,PF,PYF,279285.0,Oceania,486.95776716,10,10,2020,0.0024875621890547268,143.93898705623286,True
687,08/10/2020,62,0,French_Polynesia,PF,PYF,279285.0,Oceania,343.01878010000013,8,10,2020,0.0,22.199545267379197,True
1048,10/07/2020,1,0,Guam,GU,GUM,167295.0,Oceania,37.65802923,10,7,2020,0.0,0.5977464957111689,False
1254,30/10/2020,1,0,New_Caledonia,NC,NCL,282757.0,Oceania,0.35366056,30,10,2020,0.0,0.35366056366420634,False
1566,17/09/2020,7,0,New_Zealand,NZ,NZL,4783062.0,Oceania,1.04535546,17,9,2020,0.0,0.14634976506681285,False
1013,14/08/2020,28,0,Guam,GU,GUM,167295.0,Oceania,72.32732598,14,8,2020,0.0,16.736901879912732,False
894,11/12/2020,13,2,Guam,GU,GUM,167295.0,Oceania,181.7149347,11,12,2020,0.15384615384615385,7.7707044442451965,False
1547,06/10/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.79447015,6,10,2020,0.0,0.06272132788577695,False
1036,22/07/2020,3,0,Guam,GU,GUM,167295.0,Oceania,16.13915538,22,7,2020,0.0,1.793239487133507,False
1617,28/07/2020,1,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.25088531,28,7,2020,0.0,0.02090710929525898,False
14,30/11/2020,8,0,Australia,AU,AUS,25203200.0,Oceania,0.66658202,30,11,2020,0.0,0.03174200101574403,False
2092,30/11/2020,10,0,Papua_New_Guinea,PG,PNG,8776119.0,Oceania,0.62670071,30,11,2020,0.0,0.11394558346348768,False
250,08/04/2020,112,3,Australia,AU,AUS,25203200.0,Oceania,14.0180612,8,4,2020,0.026785714285714284,0.4443880142204165,False
171,26/06/2020,37,1,Australia,AU,AUS,25203200.0,Oceania,1.08319578,26,6,2020,0.027027027027027032,0.14680675469781615,False
324,25/01/2020,1,0,Australia,AU,AUS,25203200.0,Oceania,0.00396775,25,1,2020,0.0,0.003967750126968004,False
939,27/10/2020,120,3,Guam,GU,GUM,167295.0,Oceania,696.972414,27,10,2020,0.025,71.72957948534027,False
2080,12/12/2020,36,1,Papua_New_Guinea,PG,PNG,8776119.0,Oceania,0.85459188,12,12,2020,0.027777777777777776,0.4102041004685556,False
323,26/01/2020,3,0,Australia,AU,AUS,25203200.0,Oceania,0.015871,26,1,2020,0.0,0.011903250380904012,False
1754,05/03/2020,1,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.06272133,5,3,2020,0.0,0.02090710929525898,False
923,12/11/2020,101,0,Guam,GU,GUM,167295.0,Oceania,770.49523297,12,11,2020,0.0,60.37239606682806,False
245,13/04/2020,33,4,Australia,AU,AUS,25203200.0,Oceania,8.84411503,13,4,2020,0.12121212121212124,0.13093575418994413,False
1125,24/04/2020,3,0,Guam,GU,GUM,167295.0,Oceania,7.17295795,24,4,2020,0.0,1.793239487133507,False
1906,18/09/2020,1,0,Northern_Mariana_Islands,MP,MNP,57213.0,Oceania,8.73927254,18,9,2020,0.0,1.7478545085907051,False
1586,28/08/2020,12,0,New_Zealand,NZ,NZL,4783062.0,Oceania,2.34159624,28,8,2020,0.0,0.2508853115431078,False
1026,01/08/2020,3,0,Guam,GU,GUM,167295.0,Oceania,26.30084581,1,8,2020,0.0,1.793239487133507,False
1704,02/05/2020,2,1,New_Zealand,NZ,NZL,4783062.0,Oceania,0.83628437,2,5,2020,0.5,0.04181421859051796,False
1001,26/08/2020,77,2,Guam,GU,GUM,167295.0,Oceania,319.79437521,26,8,2020,0.025974025974025976,46.026480169760006,False
173,24/06/2020,18,0,Australia,AU,AUS,25203200.0,Oceania,0.89274378,24,6,2020,0.0,0.07141950228542407,False
1484,08/12/2020,6,0,New_Zealand,NZ,NZL,4783062.0,Oceania,1.1289839,8,12,2020,0.0,0.1254426557715539,False
1722,14/04/2020,8,4,New_Zealand,NZ,NZL,4783062.0,Oceania,8.88552145,14,4,2020,0.5,0.16725687436207184,False
350,14/12/2020,2,0,Fiji,FJ,FJI,889955.0,Oceania,0.44946093,14,12,2020,0.0,0.22473046389986007,False
50,25/10/2020,15,0,Australia,AU,AUS,25203200.0,Oceania,1.01177628,25,10,2020,0.0,0.05951625190452005,False
1609,05/08/2020,2,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.29269953,5,8,2020,0.0,0.04181421859051796,False
34,10/11/2020,10,0,Australia,AU,AUS,25203200.0,Oceania,0.55945277,10,11,2020,0.0,0.03967750126968004,False
233,25/04/2020,20,4,Australia,AU,AUS,25203200.0,Oceania,1.78151981,25,4,2020,0.2,0.07935500253936008,False
1513,09/11/2020,4,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.96172703,9,11,2020,0.0,0.08362843718103592,False
1550,03/10/2020,1,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.68993461,3,10,2020,0.0,0.02090710929525898,False
191,06/06/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.61896902,6,6,2020,0.0,0.04364525139664805,False
1084,04/06/2020,2,0,Guam,GU,GUM,167295.0,Oceania,8.36845094,4,6,2020,0.0,1.1954929914223378,False
1960,26/07/2020,2,0,Northern_Mariana_Islands,MP,MNP,57213.0,Oceania,12.23498156,26,7,2020,0.0,3.4957090171814102,False
94,11/09/2020,48,7,Australia,AU,AUS,25203200.0,Oceania,4.7255904000000015,11,9,2020,0.14583333333333334,0.1904520060944642,False
2190,24/08/2020,40,0,Papua_New_Guinea,PG,PNG,8776119.0,Oceania,2.13078241,24,8,2020,0.0,0.4557823338539507,False
692,03/10/2020,174,1,French_Polynesia,PF,PYF,279285.0,Oceania,270.33317221,3,10,2020,0.005747126436781609,62.30194962135453,False
1126,23/04/2020,1,0,Guam,GU,GUM,167295.0,Oceania,7.17295795,23,4,2020,0.0,0.5977464957111689,False
95,10/09/2020,91,11,Australia,AU,AUS,25203200.0,Oceania,4.99936516,10,9,2020,0.12087912087912088,0.3610652615540884,False
689,06/10/2020,264,1,French_Polynesia,PF,PYF,279285.0,Oceania,320.81923483,6,10,2020,0.003787878787878789,94.52709597722756,False
1535,18/10/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.6690275,18,10,2020,0.0,0.06272132788577695,False
1747,20/03/2020,11,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.81537726,20,3,2020,0.0,0.2299782022478488,False
729,27/08/2020,43,0,French_Polynesia,PF,PYF,279285.0,Oceania,76.62423689,27,8,2020,0.0,15.396458814472673,False
1589,25/08/2020,7,0,New_Zealand,NZ,NZL,4783062.0,Oceania,2.48794601,25,8,2020,0.0,0.14634976506681285,False
790,27/06/2020,2,0,French_Polynesia,PF,PYF,279285.0,Oceania,0.71611436,27,6,2020,0.0,0.7161143634638452,False
970,26/09/2020,51,4,Guam,GU,GUM,167295.0,Oceania,252.84676769,26,9,2020,0.0784313725490196,30.485071281269608,False
1705,01/05/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.96172703,1,5,2020,0.0,0.06272132788577695,False
1937,18/08/2020,4,0,Northern_Mariana_Islands,MP,MNP,57213.0,Oceania,13.98283607,18,8,2020,0.0,6.9914180343628205,False
284,05/03/2020,11,1,Australia,AU,AUS,25203200.0,Oceania,0.14680675,5,3,2020,0.09090909090909093,0.04364525139664805,False
92,13/09/2020,42,6,Australia,AU,AUS,25203200.0,Oceania,4.20581513,13,9,2020,0.14285714285714285,0.16664550533265615,False
25,19/11/2020,21,0,Australia,AU,AUS,25203200.0,Oceania,0.61500127,19,11,2020,0.0,0.08332275266632808,False
2009,07/06/2020,1,0,Northern_Mariana_Islands,MP,MNP,57213.0,Oceania,8.73927254,7,6,2020,0.0,1.7478545085907051,False
1600,14/08/2020,13,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.85719148,14,8,2020,0.0,0.27179242083836674,False
2319,17/04/2020,5,0,Papua_New_Guinea,PG,PNG,8776119.0,Oceania,0.06836735,17,4,2020,0.0,0.05697279173174384,False
1054,04/07/2020,2,0,Guam,GU,GUM,167295.0,Oceania,52.60169162,4,7,2020,0.0,1.1954929914223378,False
1626,19/07/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.41814219,19,7,2020,0.0,0.06272132788577695,False
1,13/12/2020,13,0,Australia,AU,AUS,25203200.0,Oceania,0.55548502,13,12,2020,0.0,0.05158075165058405,False
1636,09/07/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.4390493,9,7,2020,0.0,0.06272132788577695,False
985,11/09/2020,88,2,Guam,GU,GUM,167295.0,Oceania,367.01634837,11,9,2020,0.022727272727272728,52.601691622582855,False
99,06/09/2020,71,11,Australia,AU,AUS,25203200.0,Oceania,6.36823895,6,9,2020,0.15492957746478872,0.2817102590147283,False
727,29/08/2020,67,0,French_Polynesia,PF,PYF,279285.0,Oceania,90.94652416,29,8,2020,0.0,23.98983117603881,False
913,22/11/2020,97,3,Guam,GU,GUM,167295.0,Oceania,858.36396784,22,11,2020,0.030927835051546393,57.981410083983384,False
